年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2017,27,総数,902,0.18,1179,,2925,0.93,8467,2.68,16614,5.26,1249,0.40,18151,5.74,373,0.12,1808,0.57,38,0.01,4754,1.50,1654,0.52,15,0.02,572,0.82,9,0.02,23,0.05,118,0.25,4,0.01,32,0.07
2017,27,北海道,30,0.13,196,,388,2.77,440,3.14,261,1.86,73,0.52,410,2.93,3,0.02,49,0.35,1,0.01,84,0.60,34,0.24,-,-,9,0.31,-,-,-,-,4,0.17,-,-,8,0.35
2017,27,青森県,3,0.05,21,,25,0.60,60,1.43,214,5.10,9,0.21,71,1.69,5,0.12,17,0.40,-,-,16,0.38,27,0.64,-,-,2,0.18,-,-,-,-,7,1.17,-,-,1,0.17
2017,27,岩手県,18,0.28,28,,49,1.23,99,2.48,182,4.55,14,0.35,13,0.33,9,0.23,20,0.50,-,-,7,0.18,56,1.40,-,-,4,0.29,-,-,-,-,6,0.32,-,-,1,0.05
2017,27,宮城県,6,0.06,56,,92,1.56,208,3.53,399,6.76,33,0.56,129,2.19,8,0.14,53,0.90,-,-,21,0.36,21,0.36,-,-,6,0.50,-,-,-,-,5,0.42,-,-,-,-
2017,27,秋田県,1,0.02,-,,13,0.37,38,1.09,86,2.46,9,0.26,81,2.31,2,0.06,9,0.26,1,0.03,7,0.20,3,0.09,-,-,1,0.14,-,-,-,-,9,1.13,-,-,-,-
2017,27,山形県,2,0.04,4,,39,1.30,141,4.70,192,6.40,9,0.30,99,3.30,52,1.73,18,0.60,-,-,17,0.57,5,0.17,-,-,2,0.25,1,0.10,-,-,2,0.20,-,-,3,0.30
2017,27,福島県,-,-,50,,33,0.72,128,2.78,155,3.37,17,0.37,7,0.15,8,0.17,36,0.78,-,-,12,0.26,48,1.04,-,-,10,0.83,-,-,-,-,2,0.29,-,-,-,-
2017,27,茨城県,4,0.03,19,,66,0.88,226,3.01,317,4.23,37,0.49,42,0.56,5,0.07,24,0.32,1,0.01,32,0.43,17,0.23,-,-,23,1.35,-,-,-,-,1,0.08,-,-,-,-
2017,27,栃木県,1,0.01,3,,47,0.98,65,1.35,104,2.17,15,0.31,48,1.00,4,0.08,36,0.75,-,-,14,0.29,14,0.29,-,-,15,1.25,-,-,-,-,3,0.43,-,-,-,-
2017,27,群馬県,3,0.03,5,,24,0.41,207,3.57,275,4.74,22,0.38,101,1.74,9,0.16,44,0.76,-,-,58,1.00,61,1.05,-,-,7,0.50,-,-,-,-,5,0.63,-,-,1,0.13
2017,27,埼玉県,18,0.07,60,,192,1.19,614,3.79,1015,6.27,74,0.46,478,2.95,35,0.22,108,0.67,-,-,152,0.94,60,0.37,1,0.03,39,0.98,-,-,-,-,2,0.20,-,-,-,-
2017,27,千葉県,11,0.05,23,,188,1.39,495,3.67,604,4.47,44,0.33,367,2.72,7,0.05,76,0.56,1,0.01,233,1.73,45,0.33,-,-,34,0.97,-,-,1,0.11,3,0.33,-,-,-,-
2017,27,東京都,45,0.11,116,,255,0.98,768,2.94,1404,5.38,108,0.41,1090,4.18,33,0.13,168,0.64,4,0.02,314,1.20,91,0.35,-,-,30,0.77,2,0.08,-,-,6,0.24,1,0.04,-,-
2017,27,神奈川県,20,0.06,125,,195,0.90,677,3.13,1190,5.51,95,0.44,908,4.20,31,0.14,137,0.63,1,0.00,270,1.25,103,0.48,3,0.06,89,1.82,-,-,1,0.11,2,0.22,-,-,-,-
2017,27,新潟県,4,0.04,52,,67,1.18,110,1.93,314,5.51,30,0.53,238,4.18,6,0.11,34,0.60,1,0.02,32,0.56,93,1.63,-,-,6,0.60,-,-,-,-,3,0.23,1,0.08,1,0.08
2017,27,富山県,1,0.02,7,,26,0.90,39,1.34,139,4.79,9,0.31,163,5.62,4,0.14,9,0.31,-,-,16,0.55,21,0.72,-,-,3,0.43,1,0.20,1,0.20,3,0.60,-,-,-,-
2017,27,石川県,1,0.02,-,,35,1.21,68,2.34,103,3.55,2,0.07,186,6.41,3,0.10,15,0.52,-,-,31,1.07,12,0.41,-,-,6,0.86,-,-,-,-,2,0.40,-,-,-,-
2017,27,福井県,-,-,1,,10,0.45,70,3.18,157,7.14,-,-,158,7.18,-,-,14,0.64,1,0.05,22,1.00,8,0.36,-,-,-,-,-,-,-,-,-,-,1,0.17,-,-
2017,27,山梨県,-,-,-,,33,1.38,51,2.13,113,4.71,5,0.21,148,6.17,3,0.13,8,0.33,-,-,19,0.79,14,0.58,-,-,14,1.56,-,-,1,0.10,-,-,-,-,-,-
2017,27,長野県,4,0.05,5,,23,0.43,143,2.65,277,5.13,18,0.33,41,0.76,3,0.06,20,0.37,1,0.02,43,0.80,99,1.83,-,-,1,0.09,-,-,1,0.09,2,0.18,-,-,-,-
2017,27,岐阜県,6,0.07,5,,37,0.74,79,1.58,194,3.88,11,0.22,117,2.34,6,0.12,15,0.30,-,-,19,0.38,23,0.46,-,-,4,0.36,-,-,-,-,2,0.40,-,-,1,0.20
2017,27,静岡県,4,0.03,16,,72,0.81,214,2.40,629,7.07,37,0.42,330,3.71,21,0.24,39,0.44,1,0.01,50,0.56,40,0.45,-,-,12,0.55,-,-,2,0.20,3,0.30,-,-,1,0.10
2017,27,愛知県,14,0.07,37,,110,0.60,395,2.17,793,4.36,77,0.42,918,5.04,18,0.10,83,0.46,-,-,164,0.90,49,0.27,-,-,22,0.63,-,-,-,-,1,0.07,-,-,-,-
2017,27,三重県,18,0.25,3,,37,0.82,88,1.96,271,6.02,16,0.36,515,11.44,-,-,30,0.67,-,-,127,2.82,20,0.44,1,0.08,5,0.42,1,0.11,-,-,3,0.33,-,-,-,-
2017,27,滋賀県,2,0.04,2,,14,0.44,38,1.19,147,4.59,20,0.63,437,13.66,-,-,21,0.66,-,-,80,2.50,13,0.41,-,-,1,0.13,2,0.29,-,-,-,-,-,-,-,-
2017,27,京都府,1,0.01,6,,49,0.64,168,2.21,383,5.04,22,0.29,491,6.46,1,0.01,41,0.54,-,-,71,0.93,18,0.24,-,-,7,0.39,-,-,-,-,-,-,-,-,-,-
2017,27,大阪府,11,0.04,60,,145,0.73,586,2.93,1142,5.71,103,0.52,2190,10.95,14,0.07,136,0.68,3,0.02,308,1.54,81,0.41,7,0.13,29,0.56,-,-,2,0.12,8,0.47,-,-,1,0.06
2017,27,兵庫県,15,0.08,11,,101,0.78,207,1.60,836,6.48,43,0.33,1601,12.41,19,0.15,56,0.43,6,0.05,265,2.05,75,0.58,-,-,61,1.74,-,-,1,0.07,3,0.21,1,0.07,-,-
2017,27,奈良県,-,-,9,,30,0.88,89,2.62,231,6.79,19,0.56,208,6.12,3,0.09,17,0.50,3,0.09,43,1.26,16,0.47,-,-,8,0.80,-,-,2,0.33,1,0.17,-,-,-,-
2017,27,和歌山県,-,-,25,,13,0.43,38,1.27,101,3.37,19,0.63,287,9.57,-,-,17,0.57,-,-,48,1.60,47,1.57,-,-,-,-,-,-,3,0.27,2,0.18,-,-,-,-
2017,27,鳥取県,-,-,4,,12,0.63,77,4.05,98,5.16,7,0.37,282,14.84,1,0.05,9,0.47,1,0.05,70,3.68,12,0.63,-,-,4,0.80,-,-,1,0.20,1,0.20,-,-,1,0.20
2017,27,島根県,-,-,1,,13,0.57,66,2.87,116,5.04,7,0.30,76,3.30,1,0.04,15,0.65,-,-,27,1.17,20,0.87,-,-,-,-,-,-,1,0.13,1,0.13,-,-,-,-
2017,27,岡山県,6,0.07,-,,19,0.35,60,1.11,344,6.37,22,0.41,413,7.65,1,0.02,36,0.67,-,-,99,1.83,14,0.26,-,-,6,0.50,-,-,-,-,-,-,-,-,1,0.20
2017,27,広島県,-,-,6,,41,0.57,147,2.04,409,5.68,19,0.26,550,7.64,11,0.15,30,0.42,2,0.03,53,0.74,14,0.19,1,0.05,19,1.00,-,-,-,-,1,0.05,-,-,-,-
2017,27,山口県,9,0.13,2,,27,0.56,126,2.63,201,4.19,7,0.15,407,8.48,1,0.02,23,0.48,-,-,167,3.48,44,0.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,27,徳島県,1,0.03,-,,10,0.43,56,2.43,89,3.87,8,0.35,79,3.43,3,0.13,19,0.83,-,-,29,1.26,19,0.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,27,香川県,3,0.06,3,,27,0.96,74,2.64,241,8.61,5,0.18,293,10.46,-,-,15,0.54,2,0.07,67,2.39,21,0.75,-,-,1,0.20,-,-,-,-,2,0.40,-,-,2,0.40
2017,27,愛媛県,4,0.07,12,,29,0.78,115,3.11,232,6.27,18,0.49,352,9.51,10,0.27,25,0.68,-,-,50,1.35,55,1.49,-,-,25,3.13,-,-,-,-,-,-,-,-,-,-
2017,27,高知県,1,0.02,2,,6,0.20,37,1.23,73,2.43,14,0.47,573,19.10,5,0.17,15,0.50,2,0.07,79,2.63,5,0.17,-,-,-,-,-,-,3,0.38,1,0.13,-,-,-,-
2017,27,福岡県,12,0.06,23,,79,0.66,520,4.33,821,6.84,34,0.28,903,7.53,10,0.08,83,0.69,-,-,649,5.41,62,0.52,-,-,12,0.46,1,0.07,-,-,5,0.33,-,-,1,0.07
2017,27,佐賀県,6,0.15,-,,21,0.91,52,2.26,72,3.13,17,0.74,225,9.78,-,-,17,0.74,-,-,119,5.17,3,0.13,-,-,5,1.67,-,-,1,0.17,3,0.50,-,-,-,-
2017,27,長崎県,13,0.19,1,,9,0.20,114,2.59,117,2.66,21,0.48,345,7.84,1,0.02,21,0.48,-,-,98,2.23,23,0.52,-,-,4,0.50,-,-,1,0.08,2,0.17,-,-,7,0.58
2017,27,熊本県,24,0.30,2,,30,0.60,79,1.58,403,8.06,8,0.16,462,9.24,2,0.04,37,0.74,2,0.04,163,3.26,14,0.28,-,-,4,0.44,-,-,-,-,3,0.20,-,-,2,0.13
2017,27,大分県,6,0.10,2,,11,0.31,119,3.31,363,10.08,14,0.39,443,12.31,2,0.06,37,1.03,-,-,185,5.14,23,0.64,-,-,5,1.00,-,-,-,-,2,0.18,-,-,-,-
2017,27,宮崎県,14,0.24,13,,28,0.78,107,2.97,261,7.25,22,0.61,491,13.64,8,0.22,38,1.06,-,-,103,2.86,5,0.14,-,-,16,2.67,-,-,-,-,-,-,-,-,-,-
2017,27,鹿児島県,50,0.54,29,,122,2.22,130,2.36,415,7.55,17,0.31,308,5.60,4,0.07,27,0.49,-,-,196,3.56,98,1.78,-,-,7,1.00,1,0.08,-,-,1,0.08,-,-,-,-
