年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,11,総数,17,0.00,565,0.18,298,0.10,856,0.28,11038,3.55,207,0.07,209,0.07,43,0.01,820,0.26,41,0.01,87,0.03,4,0.01,81,0.12,5,0.01,9,0.02,5,0.01,-,-,4,0.01
2022,11,北海道,-,-,49,0.35,16,0.12,66,0.47,114,0.82,9,0.06,1,0.01,-,-,13,0.09,1,0.01,2,0.01,-,-,-,-,-,-,-,-,1,0.04,-,-,-,-
2022,11,青森県,-,-,-,-,-,-,1,0.02,96,2.29,7,0.17,-,-,-,-,12,0.29,-,-,2,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,11,岩手県,-,-,24,0.60,4,0.10,22,0.55,115,2.88,5,0.13,-,-,3,0.08,15,0.38,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,11,宮城県,-,-,7,0.12,2,0.03,13,0.22,130,2.24,5,0.09,2,0.03,2,0.03,13,0.22,3,0.05,-,-,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
2022,11,秋田県,-,-,3,0.09,4,0.12,11,0.32,74,2.18,5,0.15,-,-,1,0.03,7,0.21,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,11,山形県,-,-,-,-,7,0.24,4,0.14,98,3.38,1,0.03,-,-,-,-,7,0.24,-,-,-,-,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
2022,11,福島県,-,-,2,0.04,9,0.18,15,0.30,187,3.74,3,0.06,-,-,-,-,18,0.36,-,-,1,0.02,-,-,2,0.15,1,0.14,-,-,-,-,-,-,-,-
2022,11,茨城県,-,-,2,0.03,20,0.27,10,0.13,206,2.75,3,0.04,1,0.01,-,-,7,0.09,-,-,4,0.05,-,-,4,0.24,-,-,-,-,3,0.25,-,-,-,-
2022,11,栃木県,1,0.01,6,0.13,-,-,14,0.29,130,2.71,2,0.04,16,0.33,-,-,16,0.33,-,-,-,-,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
2022,11,群馬県,-,-,6,0.11,3,0.06,4,0.07,335,6.20,5,0.09,6,0.11,1,0.02,19,0.35,-,-,2,0.04,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
2022,11,埼玉県,1,0.00,2,0.01,7,0.05,18,0.12,594,3.88,17,0.11,4,0.03,4,0.03,55,0.36,2,0.01,11,0.07,-,-,3,0.08,-,-,2,0.18,-,-,-,-,-,-
2022,11,千葉県,-,-,1,0.01,5,0.04,23,0.19,445,3.59,6,0.05,3,0.02,4,0.03,31,0.25,-,-,4,0.03,-,-,3,0.10,-,-,1,0.11,1,0.11,-,-,-,-
2022,11,東京都,-,-,3,0.01,2,0.01,34,0.13,1007,3.96,9,0.04,4,0.02,2,0.01,55,0.22,2,0.01,7,0.03,-,-,3,0.08,-,-,-,-,-,-,-,-,-,-
2022,11,神奈川県,1,0.00,-,-,4,0.02,25,0.12,700,3.27,10,0.05,5,0.02,5,0.02,49,0.23,1,0.00,5,0.02,-,-,11,0.22,-,-,2,0.18,-,-,-,-,-,-
