年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2020,47,総数,48,0.01,325,0.10,795,0.25,2543,0.81,7491,2.38,727,0.23,383,0.12,44,0.01,1415,0.45,424,0.13,164,0.05,2,0.00,163,0.24,4,0.01,8,0.02,28,0.06,-,-,1,0.00
2020,47,北海道,2,0.01,4,0.03,54,0.39,164,1.17,122,0.87,37,0.26,1,0.01,1,0.01,35,0.25,4,0.03,1,0.01,-,-,2,0.07,-,-,-,-,6,0.26,-,-,-,-
2020,47,青森県,-,-,-,-,12,0.29,22,0.52,43,1.02,4,0.10,-,-,1,0.02,22,0.52,3,0.07,2,0.05,-,-,1,0.09,1,0.17,-,-,-,-,-,-,-,-
2020,47,岩手県,-,-,13,0.32,4,0.10,53,1.29,95,2.32,5,0.12,1,0.02,3,0.07,19,0.46,2,0.05,1,0.02,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
2020,47,宮城県,-,-,4,0.07,7,0.12,42,0.72,96,1.66,2,0.03,2,0.03,2,0.03,34,0.59,1,0.02,5,0.09,-,-,3,0.25,-,-,-,-,3,0.25,-,-,-,-
2020,47,秋田県,-,-,-,-,2,0.06,9,0.26,39,1.11,11,0.31,1,0.03,-,-,11,0.31,1,0.03,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2020,47,山形県,-,-,-,-,9,0.31,37,1.28,276,9.52,5,0.17,1,0.03,-,-,15,0.52,31,1.07,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,47,福島県,-,-,3,0.06,20,0.40,65,1.30,52,1.04,21,0.42,10,0.20,1,0.02,26,0.52,13,0.26,2,0.04,-,-,4,0.31,-,-,-,-,-,-,-,-,-,-
2020,47,茨城県,-,-,1,0.01,13,0.17,70,0.93,92,1.23,14,0.19,3,0.04,1,0.01,16,0.21,4,0.05,1,0.01,-,-,2,0.12,-,-,-,-,2,0.17,-,-,-,-
2020,47,栃木県,2,0.03,1,0.02,5,0.10,21,0.44,34,0.71,11,0.23,2,0.04,-,-,14,0.29,1,0.02,5,0.10,-,-,2,0.17,-,-,-,-,2,0.29,-,-,-,-
