年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2016,35,総数,161,0.03,2725,,1351,0.43,3981,1.26,12291,3.90,690,0.22,2204,0.70,525,0.17,1707,0.54,80,0.03,6155,1.95,2959,0.94,9,0.01,624,0.90,10,0.02,53,0.11,415,0.88,2,0.00,7,0.01
2016,35,北海道,-,-,159,,32,0.23,308,2.17,191,1.35,24,0.17,99,0.70,23,0.16,50,0.35,4,0.03,1193,8.40,100,0.70,-,-,15,0.54,-,-,2,0.09,21,0.95,-,-,-,-
2016,35,青森県,-,-,69,,4,0.10,49,1.17,108,2.57,5,0.12,31,0.74,13,0.31,15,0.36,4,0.10,107,2.55,15,0.36,-,-,5,0.45,1,0.17,-,-,4,0.67,-,-,-,-
2016,35,岩手県,-,-,93,,9,0.23,98,2.45,156,3.90,5,0.13,21,0.53,2,0.05,30,0.75,-,-,133,3.33,19,0.48,-,-,2,0.14,-,-,-,-,9,0.47,-,-,1,0.05
2016,35,宮城県,1,0.01,79,,7,0.12,83,1.41,164,2.78,18,0.31,201,3.41,5,0.08,44,0.75,-,-,401,6.80,18,0.31,-,-,-,-,-,-,-,-,8,0.67,-,-,-,-
2016,35,秋田県,-,-,8,,8,0.23,42,1.20,94,2.69,7,0.20,11,0.31,4,0.11,9,0.26,1,0.03,142,4.06,10,0.29,-,-,-,-,-,-,-,-,7,0.88,-,-,-,-
2016,35,山形県,-,-,56,,9,0.30,89,2.97,94,3.13,4,0.13,41,1.37,2,0.07,21,0.70,-,-,285,9.50,47,1.57,-,-,4,0.50,-,-,2,0.20,6,0.60,-,-,-,-
2016,35,福島県,-,-,71,,6,0.13,38,0.83,91,1.98,9,0.20,25,0.54,13,0.28,26,0.57,-,-,264,5.74,11,0.24,-,-,6,0.50,-,-,1,0.14,6,0.86,1,0.14,-,-
2016,35,茨城県,2,0.02,35,,10,0.13,93,1.24,313,4.17,13,0.17,72,0.96,4,0.05,19,0.25,1,0.01,97,1.29,38,0.51,-,-,28,1.65,-,-,1,0.08,2,0.15,-,-,-,-
2016,35,栃木県,-,-,27,,7,0.15,27,0.56,44,0.92,4,0.08,59,1.23,12,0.25,28,0.58,-,-,97,2.02,25,0.52,1,0.08,11,0.92,-,-,1,0.14,9,1.29,-,-,-,-
2016,35,群馬県,2,0.02,98,,9,0.16,96,1.66,185,3.19,5,0.09,17,0.29,11,0.19,35,0.60,-,-,126,2.17,40,0.69,-,-,13,0.93,-,-,2,0.25,10,1.25,-,-,-,-
2016,35,埼玉県,8,0.03,95,,42,0.26,188,1.18,582,3.64,32,0.20,114,0.71,30,0.19,81,0.51,1,0.01,241,1.51,133,0.83,2,0.05,37,0.90,-,-,2,0.20,12,1.20,-,-,-,-
2016,35,千葉県,3,0.01,132,,30,0.22,214,1.59,439,3.25,29,0.21,208,1.54,21,0.16,71,0.53,6,0.04,196,1.45,70,0.52,-,-,36,1.03,1,0.11,3,0.33,9,1.00,-,-,-,-
