年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2023,21,総数,7975,1.62,6101,1.95,2014,0.64,4665,1.49,20306,6.48,405,0.13,1133,0.36,41,0.01,1094,0.35,4154,1.33,215,0.07,12,0.02,217,0.31,11,0.02,14,0.03,33,0.07,-,-,5,0.01,17864,3.63
2023,21,北海道,305,1.38,366,2.67,107,0.78,255,1.86,468,3.42,6,0.04,6,0.04,4,0.03,25,0.18,15,0.11,7,0.05,-,-,2,0.07,-,-,1,0.04,2,0.09,-,-,-,-,1264,5.72
2023,21,青森県,54,0.90,66,1.74,17,0.45,12,0.32,121,3.18,1,0.03,20,0.53,-,-,6,0.16,1,0.03,2,0.05,1,0.10,-,-,-,-,-,-,20,3.33,-,-,-,-,184,3.07
2023,21,岩手県,159,2.52,59,1.48,19,0.48,59,1.48,203,5.08,3,0.08,2,0.05,-,-,16,0.40,21,0.53,1,0.03,-,-,2,0.14,1,0.05,-,-,1,0.05,-,-,-,-,376,5.97
2023,21,宮城県,218,2.48,50,0.93,23,0.43,15,0.28,326,6.04,7,0.13,7,0.13,-,-,18,0.33,5,0.09,6,0.11,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-,449,5.10
2023,21,秋田県,41,0.79,44,1.29,6,0.18,17,0.50,68,2.00,4,0.12,-,-,-,-,4,0.12,1,0.03,-,-,2,0.29,1,0.14,-,-,-,-,-,-,-,-,-,-,219,4.21
2023,21,山形県,126,2.93,23,0.82,30,1.07,17,0.61,146,5.21,3,0.11,1,0.04,-,-,16,0.57,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141,3.28
2023,21,福島県,249,3.04,74,1.51,33,0.67,82,1.67,145,2.96,7,0.14,2,0.04,-,-,38,0.78,4,0.08,3,0.06,-,-,3,0.23,1,0.14,-,-,-,-,-,-,-,-,293,3.57
2023,21,茨城県,134,1.12,48,0.64,40,0.53,122,1.63,402,5.36,13,0.17,77,1.03,-,-,18,0.24,31,0.41,6,0.08,-,-,16,0.94,-,-,-,-,-,-,-,-,-,-,460,3.83
2023,21,栃木県,34,0.45,39,0.81,5,0.10,47,0.98,122,2.54,3,0.06,3,0.06,-,-,15,0.31,28,0.58,-,-,-,-,3,0.25,-,-,-,-,-,-,-,-,-,-,248,3.26
2023,21,群馬県,250,2.87,21,0.39,35,0.65,41,0.76,260,4.81,3,0.06,8,0.15,-,-,18,0.33,30,0.56,2,0.04,-,-,5,0.36,-,-,-,-,1,0.11,-,-,-,-,194,2.23
2023,21,埼玉県,519,2.00,281,1.72,147,0.90,273,1.67,1626,9.98,41,0.25,76,0.47,6,0.04,66,0.40,108,0.66,17,0.10,1,0.02,10,0.24,2,0.18,1,0.09,-,-,-,-,-,-,1115,4.29
2023,21,千葉県,382,1.85,148,1.16,98,0.77,191,1.49,1009,7.88,11,0.09,41,0.32,2,0.02,38,0.30,157,1.23,13,0.10,-,-,13,0.37,1,0.11,1,0.11,-,-,-,-,-,-,1073,5.21
2023,21,東京都,785,1.89,293,1.12,147,0.56,441,1.68,1955,7.46,46,0.18,95,0.36,7,0.03,97,0.37,336,1.28,24,0.09,4,0.11,11,0.29,-,-,1,0.04,1,0.04,-,-,-,-,1647,3.96
2023,21,神奈川県,402,1.12,160,0.70,109,0.48,264,1.16,1447,6.37,38,0.17,64,0.28,6,0.03,92,0.41,231,1.02,28,0.12,-,-,36,0.72,-,-,1,0.08,1,0.08,-,-,-,-,1227,3.43
2023,21,新潟県,281,3.35,141,2.61,42,0.78,79,1.46,247,4.57,4,0.07,22,0.41,1,0.02,11,0.20,12,0.22,2,0.04,-,-,2,0.20,-,-,-,-,-,-,-,-,-,-,359,4.27
2023,21,富山県,15,0.31,29,1.00,20,0.69,74,2.55,269,9.28,7,0.24,16,0.55,-,-,10,0.34,76,2.62,-,-,-,-,3,0.43,-,-,-,-,1,0.20,-,-,1,0.20,134,2.79
2023,21,石川県,4,0.08,65,2.24,9,0.31,12,0.41,234,8.07,5,0.17,11,0.38,-,-,12,0.41,115,3.97,1,0.03,-,-,5,0.71,-,-,-,-,-,-,-,-,-,-,268,5.58
2023,21,福井県,4,0.10,80,3.20,21,0.84,43,1.72,169,6.76,4,0.16,10,0.40,1,0.04,9,0.36,32,1.28,1,0.04,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-,119,3.05
2023,21,山梨県,18,0.44,-,-,8,0.33,3,0.13,127,5.29,5,0.21,-,-,-,-,7,0.29,-,-,-,-,-,-,3,0.33,-,-,-,-,-,-,-,-,-,-,237,5.78
2023,21,長野県,91,1.03,50,0.93,13,0.24,33,0.61,461,8.54,10,0.19,8,0.15,1,0.02,23,0.43,20,0.37,2,0.04,1,0.10,11,1.10,-,-,-,-,-,-,-,-,1,0.08,369,4.19
2023,21,岐阜県,79,0.91,120,2.26,29,0.55,50,0.94,389,7.34,-,-,1,0.02,-,-,6,0.11,14,0.26,1,0.02,-,-,3,0.27,-,-,-,-,-,-,-,-,-,-,331,3.80
2023,21,静岡県,251,1.81,110,1.24,52,0.58,66,0.74,485,5.45,10,0.11,38,0.43,1,0.01,38,0.43,182,2.04,2,0.02,-,-,4,0.18,1,0.10,-,-,-,-,-,-,-,-,389,2.80
2023,21,愛知県,367,1.88,265,1.46,77,0.42,211,1.16,1293,7.10,9,0.05,33,0.18,3,0.02,46,0.25,147,0.81,4,0.02,-,-,4,0.11,-,-,1,0.07,-,-,-,-,-,-,928,4.76
2023,21,三重県,130,1.81,84,1.87,35,0.78,38,0.84,434,9.64,3,0.07,5,0.11,-,-,11,0.24,47,1.04,-,-,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-,196,2.72
2023,21,滋賀県,45,0.75,112,3.11,8,0.22,59,1.64,182,5.06,15,0.42,8,0.22,1,0.03,17,0.47,56,1.56,4,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,1.77
2023,21,京都府,76,0.60,162,2.10,47,0.61,179,2.32,412,5.35,6,0.08,12,0.16,-,-,17,0.22,101,1.31,6,0.08,-,-,4,0.22,-,-,-,-,-,-,-,-,1,0.14,328,2.60
2023,21,大阪府,187,0.64,738,3.86,174,0.91,472,2.47,1169,6.12,16,0.08,71,0.37,2,0.01,50,0.26,270,1.41,18,0.09,1,0.02,11,0.21,-,-,-,-,-,-,-,-,1,0.06,797,2.75
2023,21,兵庫県,333,1.67,458,3.55,111,0.86,151,1.17,1048,8.12,13,0.10,76,0.59,1,0.01,35,0.27,279,2.16,9,0.07,1,0.03,10,0.29,-,-,-,-,-,-,-,-,-,-,469,2.36
2023,21,奈良県,33,0.60,136,4.00,23,0.68,45,1.32,226,6.65,3,0.09,12,0.35,1,0.03,9,0.26,75,2.21,3,0.09,-,-,3,0.30,-,-,-,-,-,-,-,-,-,-,181,3.29
2023,21,和歌山県,16,0.33,177,5.90,17,0.57,72,2.40,152,5.07,-,-,2,0.07,-,-,5,0.17,75,2.50,2,0.07,-,-,4,1.00,-,-,-,-,-,-,-,-,-,-,131,2.67
2023,21,鳥取県,26,0.90,13,0.68,14,0.74,62,3.26,165,8.68,-,-,3,0.16,-,-,6,0.32,11,0.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.20,83,2.86
2023,21,島根県,33,0.87,41,1.78,10,0.43,8,0.35,130,5.65,-,-,13,0.57,-,-,9,0.39,10,0.43,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,1.47
2023,21,岡山県,73,0.87,57,1.06,44,0.81,31,0.57,317,5.87,8,0.15,35,0.65,1,0.02,17,0.31,73,1.35,5,0.09,-,-,1,0.08,-,-,2,0.40,-,-,-,-,-,-,226,2.69
2023,21,広島県,224,2.00,247,3.48,70,0.99,118,1.66,390,5.49,9,0.13,16,0.23,-,-,15,0.21,61,0.86,1,0.01,-,-,8,0.42,1,0.05,1,0.05,1,0.05,-,-,-,-,266,2.38
2023,21,山口県,170,2.54,237,5.51,16,0.37,84,1.95,194,4.51,19,0.44,15,0.35,-,-,17,0.40,70,1.63,-,-,-,-,5,0.56,-,-,-,-,-,-,-,-,-,-,163,2.43
2023,21,徳島県,32,0.86,46,2.00,11,0.48,7,0.30,119,5.17,4,0.17,10,0.43,-,-,7,0.30,54,2.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,3.03
2023,21,香川県,5,0.11,29,1.04,16,0.57,5,0.18,225,8.04,3,0.11,9,0.32,-,-,14,0.50,47,1.68,1,0.04,-,-,2,0.40,-,-,-,-,-,-,-,-,-,-,75,1.60
2023,21,愛媛県,224,3.67,81,2.19,29,0.78,32,0.86,293,7.92,7,0.19,6,0.16,-,-,15,0.41,81,2.19,-,-,-,-,12,1.50,-,-,-,-,-,-,-,-,-,-,147,2.41
2023,21,高知県,91,2.07,17,0.65,12,0.46,27,1.04,100,3.85,-,-,2,0.08,-,-,12,0.46,42,1.62,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,1.80
2023,21,福岡県,248,1.25,344,2.87,117,0.98,529,4.41,962,8.02,19,0.16,89,0.74,1,0.01,61,0.51,203,1.69,10,0.08,1,0.04,4,0.15,-,-,-,-,-,-,-,-,-,-,610,3.08
2023,21,佐賀県,34,0.87,87,3.78,25,1.09,14,0.61,127,5.52,1,0.04,5,0.22,-,-,16,0.70,103,4.48,1,0.04,-,-,1,0.25,-,-,4,0.67,-,-,-,-,-,-,120,3.08
2023,21,長崎県,290,4.14,47,1.07,17,0.39,101,2.30,136,3.09,-,-,24,0.55,-,-,18,0.41,204,4.64,8,0.18,-,-,3,0.38,1,0.08,-,-,-,-,-,-,-,-,298,4.26
2023,21,熊本県,187,2.37,27,0.54,24,0.48,52,1.04,355,7.10,7,0.14,14,0.28,-,-,29,0.58,100,2.00,12,0.24,-,-,-,-,1,0.07,-,-,-,-,-,-,-,-,195,2.47
2023,21,大分県,84,1.45,78,2.17,25,0.69,33,0.92,468,13.00,19,0.53,23,0.64,-,-,23,0.64,112,3.11,-,-,-,-,1,0.20,-,-,1,0.09,5,0.45,-,-,-,-,134,2.31
2023,21,宮崎県,410,7.07,121,3.36,9,0.25,38,1.06,237,6.58,3,0.08,51,1.42,1,0.03,27,0.75,321,8.92,9,0.25,-,-,3,0.50,-,-,-,-,-,-,-,-,-,-,192,3.31
2023,21,鹿児島県,216,2.37,172,3.25,57,1.08,49,0.92,387,7.30,7,0.13,45,0.85,1,0.02,21,0.40,184,3.47,2,0.04,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-,317,3.48
2023,21,沖縄県,40,0.74,58,1.87,16,0.52,52,1.68,106,3.42,3,0.10,46,1.48,-,-,14,0.45,8,0.26,-,-,-,-,6,0.75,-,-,-,-,-,-,-,-,-,-,559,10.35
2023,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
