年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2021,15,総数,12,0.00,3528,1.12,438,0.14,2151,0.68,10180,3.22,340,0.11,68,0.02,66,0.02,1285,0.41,80,0.03,136,0.04,4,0.01,114,0.16,9,0.02,8,0.02,10,0.02,-,-,3,0.01
2021,15,北海道,2,0.01,26,0.19,26,0.19,125,0.89,355,2.54,29,0.21,1,0.01,3,0.02,25,0.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,青森県,-,-,79,1.88,1,0.02,16,0.38,213,5.07,6,0.14,-,-,2,0.05,12,0.29,-,-,-,-,-,-,2,0.18,-,-,-,-,-,-,-,-,-,-
2021,15,岩手県,-,-,103,2.51,4,0.10,51,1.24,119,2.90,6,0.15,-,-,1,0.02,17,0.41,-,-,1,0.02,-,-,2,0.14,-,-,-,-,-,-,-,-,-,-
2021,15,宮城県,-,-,26,0.45,8,0.14,17,0.29,96,1.66,9,0.16,-,-,1,0.02,28,0.48,1,0.02,2,0.03,-,-,-,-,-,-,-,-,1,0.08,-,-,-,-
2021,15,秋田県,-,-,38,1.12,5,0.15,20,0.59,116,3.41,4,0.12,-,-,-,-,16,0.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,山形県,-,-,24,0.83,5,0.17,39,1.34,59,2.03,4,0.14,2,0.07,2,0.07,14,0.48,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,1,0.10
2021,15,福島県,-,-,20,0.40,4,0.08,36,0.72,153,3.06,7,0.14,-,-,2,0.04,28,0.56,-,-,2,0.04,-,-,3,0.23,-,-,-,-,-,-,-,-,-,-
2021,15,茨城県,-,-,-,-,5,0.07,46,0.61,150,2.00,2,0.03,5,0.07,3,0.04,18,0.24,1,0.01,5,0.07,-,-,2,0.12,-,-,-,-,3,0.25,-,-,-,-
2021,15,栃木県,-,-,30,0.63,5,0.10,22,0.46,97,2.02,5,0.10,-,-,2,0.04,21,0.44,-,-,1,0.02,-,-,5,0.42,-,-,1,0.14,-,-,-,-,-,-
2021,15,群馬県,-,-,2,0.04,3,0.06,23,0.43,191,3.54,8,0.15,1,0.02,-,-,11,0.20,-,-,2,0.04,-,-,6,0.40,-,-,-,-,-,-,-,-,-,-
2021,15,埼玉県,2,0.01,3,0.02,16,0.10,75,0.46,382,2.36,17,0.10,5,0.03,3,0.02,83,0.51,-,-,11,0.07,2,0.05,9,0.23,1,0.09,-,-,-,-,-,-,-,-
2021,15,千葉県,2,0.01,7,0.05,8,0.06,70,0.53,281,2.11,20,0.15,6,0.05,2,0.02,61,0.46,-,-,8,0.06,-,-,8,0.24,-,-,-,-,-,-,-,-,-,-
2021,15,東京都,-,-,76,0.29,15,0.06,83,0.32,851,3.27,13,0.05,-,-,3,0.01,121,0.47,2,0.01,13,0.05,-,-,10,0.26,-,-,-,-,-,-,-,-,-,-
2021,15,神奈川県,-,-,44,0.20,14,0.06,97,0.44,466,2.11,21,0.10,-,-,4,0.02,84,0.38,1,0.00,9,0.04,1,0.02,15,0.30,-,-,-,-,-,-,-,-,-,-
2021,15,新潟県,-,-,-,-,40,0.70,108,1.89,139,2.44,6,0.11,6,0.11,1,0.02,22,0.39,1,0.02,7,0.12,-,-,-,-,-,-,1,0.08,-,-,-,-,-,-
2021,15,富山県,-,-,110,3.79,6,0.21,42,1.45,78,2.69,5,0.17,-,-,1,0.03,18,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,石川県,-,-,44,1.52,8,0.28,19,0.66,100,3.45,6,0.21,-,-,-,-,10,0.34,-,-,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,福井県,-,-,2,0.09,8,0.35,25,1.09,200,8.70,3,0.13,-,-,-,-,7,0.30,-,-,-,-,-,-,-,-,1,0.17,-,-,-,-,-,-,-,-
2021,15,山梨県,-,-,3,0.13,1,0.04,4,0.17,44,1.83,-,-,-,-,1,0.04,9,0.38,-,-,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
2021,15,長野県,-,-,-,-,5,0.09,26,0.48,191,3.54,15,0.28,-,-,-,-,19,0.35,2,0.04,4,0.07,-,-,1,0.09,-,-,-,-,-,-,-,-,-,-
2021,15,岐阜県,1,0.01,7,0.13,4,0.08,16,0.31,88,1.69,1,0.02,-,-,1,0.02,14,0.27,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,静岡県,-,-,109,1.22,8,0.09,36,0.40,212,2.38,9,0.10,1,0.01,2,0.02,32,0.36,-,-,4,0.04,-,-,3,0.14,-,-,2,0.20,-,-,-,-,-,-
2021,15,愛知県,1,0.01,119,0.65,12,0.07,66,0.36,401,2.20,15,0.08,2,0.01,2,0.01,64,0.35,3,0.02,10,0.05,-,-,4,0.11,-,-,1,0.07,-,-,-,-,-,-
2021,15,三重県,-,-,5,0.11,6,0.14,11,0.25,163,3.70,3,0.07,1,0.02,1,0.02,15,0.34,1,0.02,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,滋賀県,-,-,20,0.56,7,0.19,21,0.58,79,2.19,3,0.08,1,0.03,1,0.03,11,0.31,1,0.03,-,-,-,-,1,0.13,2,0.29,-,-,-,-,-,-,-,-
2021,15,京都府,-,-,52,0.68,3,0.04,42,0.55,195,2.53,11,0.14,1,0.01,1,0.01,20,0.26,2,0.03,3,0.04,-,-,1,0.06,-,-,-,-,-,-,-,-,-,-
2021,15,大阪府,-,-,623,3.19,30,0.15,129,0.66,770,3.95,15,0.08,4,0.02,3,0.02,68,0.35,10,0.05,10,0.05,-,-,4,0.08,-,-,-,-,-,-,-,-,-,-
2021,15,兵庫県,-,-,154,1.19,21,0.16,75,0.58,607,4.71,8,0.06,3,0.02,2,0.02,45,0.35,1,0.01,4,0.03,-,-,4,0.11,-,-,1,0.07,-,-,-,-,1,0.07
2021,15,奈良県,-,-,27,0.79,3,0.09,18,0.53,111,3.26,1,0.03,-,-,-,-,15,0.44,-,-,2,0.06,-,-,1,0.10,-,-,-,-,-,-,-,-,-,-
2021,15,和歌山県,-,-,4,0.13,-,-,23,0.77,51,1.70,3,0.10,-,-,1,0.03,19,0.63,-,-,3,0.10,-,-,-,-,1,0.09,-,-,-,-,-,-,-,-
2021,15,鳥取県,-,-,-,-,3,0.16,46,2.42,122,6.42,3,0.16,-,-,1,0.05,5,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,島根県,-,-,-,-,1,0.04,12,0.52,149,6.48,1,0.04,-,-,-,-,10,0.43,-,-,1,0.04,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-
2021,15,岡山県,-,-,8,0.15,6,0.11,17,0.31,333,6.17,5,0.09,-,-,-,-,22,0.41,1,0.02,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,広島県,-,-,83,1.15,12,0.17,38,0.53,557,7.74,9,0.13,1,0.01,1,0.01,16,0.22,1,0.01,3,0.04,-,-,10,0.53,-,-,1,0.05,1,0.05,-,-,-,-
2021,15,山口県,4,0.06,76,1.65,10,0.22,30,0.65,196,4.26,2,0.04,2,0.04,2,0.04,15,0.33,-,-,3,0.07,-,-,-,-,-,-,-,-,1,0.11,-,-,-,-
2021,15,徳島県,-,-,1,0.04,1,0.04,8,0.35,48,2.09,2,0.09,-,-,-,-,17,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,香川県,-,-,-,-,5,0.18,6,0.21,127,4.54,2,0.07,1,0.04,1,0.04,12,0.43,19,0.68,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,愛媛県,-,-,-,-,12,0.32,24,0.65,442,11.95,2,0.05,2,0.05,-,-,29,0.78,10,0.27,4,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,15,高知県,-,-,-,-,4,0.14,6,0.21,138,4.93,3,0.11,2,0.07,2,0.07,11,0.39,14,0.50,2,0.07,-,-,1,0.33,-,-,-,-,1,0.13,-,-,-,-
2021,15,福岡県,-,-,700,5.83,33,0.28,281,2.34,293,2.44,14,0.12,3,0.03,5,0.04,72,0.60,2,0.02,7,0.06,1,0.04,5,0.19,-,-,-,-,-,-,-,-,-,-
2021,15,佐賀県,-,-,173,7.52,7,0.30,40,1.74,24,1.04,1,0.04,-,-,3,0.13,16,0.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
