年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2018,33,総数,191,0.04,4104,1.34,972,0.32,2553,0.83,7664,2.50,614,0.20,3079,1.00,570,0.19,1052,0.34,4526,1.48,353,0.12,2,0.00,571,0.83,14,0.03,19,0.04,129,0.27,1,0.00,7,0.01
2018,33,北海道,-,-,71,0.51,48,0.35,129,0.93,128,0.92,19,0.14,464,3.34,6,0.04,43,0.31,199,1.43,11,0.08,-,-,27,0.96,-,-,-,-,8,0.35,-,-,-,-
2018,33,青森県,1,0.02,39,0.93,5,0.12,18,0.43,70,1.67,7,0.17,125,2.98,-,-,7,0.17,45,1.07,23,0.55,-,-,3,0.27,-,-,1,0.17,8,1.33,-,-,-,-
2018,33,岩手県,-,-,46,1.15,5,0.13,41,1.03,77,1.93,6,0.15,34,0.85,23,0.58,10,0.25,47,1.18,-,-,-,-,4,0.29,-,-,-,-,2,0.11,-,-,-,-
2018,33,宮城県,4,0.04,63,1.07,13,0.22,34,0.58,150,2.54,22,0.37,54,0.92,22,0.37,21,0.36,180,3.05,1,0.02,-,-,4,0.33,1,0.08,-,-,4,0.33,-,-,-,-
2018,33,秋田県,2,0.04,24,0.69,10,0.29,19,0.54,42,1.20,6,0.17,15,0.43,-,-,5,0.14,59,1.69,4,0.11,-,-,2,0.29,-,-,-,-,18,2.25,-,-,-,-
2018,33,山形県,-,-,26,0.90,10,0.34,23,0.79,42,1.45,7,0.24,57,1.97,4,0.14,27,0.93,151,5.21,4,0.14,-,-,2,0.25,-,-,-,-,10,1.00,-,-,-,-
2018,33,福島県,-,-,100,2.00,15,0.30,33,0.66,33,0.66,15,0.30,15,0.30,2,0.04,17,0.34,177,3.54,2,0.04,-,-,20,1.54,-,-,-,-,1,0.14,-,-,-,-
2018,33,茨城県,2,0.02,50,0.67,24,0.32,90,1.20,162,2.16,17,0.23,14,0.19,3,0.04,13,0.17,113,1.51,6,0.08,-,-,20,1.18,-,-,-,-,4,0.31,-,-,-,-
2018,33,栃木県,2,0.03,41,0.85,5,0.10,12,0.25,56,1.17,9,0.19,7,0.15,10,0.21,24,0.50,70,1.46,2,0.04,-,-,1,0.08,-,-,-,-,3,0.43,-,-,-,-
