年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2024,45,総数,5252,1.06,739,0.24,676,0.22,5270,1.68,7693,2.45,601,0.19,17992,5.74,1117,0.36,718,0.23,383,0.12,86,0.03,6,0.01,312,0.45,11,0.02,21,0.04,1165,2.43,1,0.00,6,0.01,7246,1.47
2024,45,北海道,150,0.67,80,0.58,59,0.43,412,3.01,134,0.98,41,0.30,553,4.04,12,0.09,20,0.15,23,0.17,3,0.02,-,-,1,0.03,-,-,-,-,60,2.73,-,-,3,0.14,849,3.81
2024,45,青森県,14,0.24,1,0.03,1,0.03,34,0.92,54,1.46,5,0.14,147,3.97,37,1.00,7,0.19,-,-,-,-,-,-,2,0.20,1,0.17,-,-,24,4.00,-,-,-,-,150,2.59
2024,45,岩手県,21,0.33,6,0.15,9,0.23,63,1.58,105,2.63,8,0.20,405,10.13,9,0.23,11,0.28,5,0.13,1,0.03,-,-,3,0.21,-,-,-,-,41,2.16,-,-,-,-,219,3.48
2024,45,宮城県,89,0.98,6,0.11,31,0.56,97,1.76,140,2.55,12,0.22,503,9.15,20,0.36,16,0.29,2,0.04,1,0.02,-,-,5,0.42,-,-,-,-,11,1.10,-,-,-,-,172,1.89
2024,45,秋田県,32,0.63,8,0.24,10,0.30,21,0.64,29,0.88,5,0.15,106,3.21,1,0.03,4,0.12,3,0.09,1,0.03,-,-,1,0.14,-,-,-,-,15,1.88,-,-,-,-,214,4.20
2024,45,山形県,34,0.79,11,0.39,10,0.36,62,2.21,73,2.61,13,0.46,257,9.18,1,0.04,8,0.29,7,0.25,1,0.04,-,-,-,-,1,0.10,-,-,11,1.10,-,-,-,-,58,1.35
2024,45,福島県,75,0.91,11,0.22,5,0.10,54,1.10,61,1.24,8,0.16,416,8.49,11,0.22,14,0.29,4,0.08,1,0.02,1,0.08,3,0.23,1,0.14,-,-,20,2.86,-,-,-,-,181,2.21
2024,45,茨城県,83,0.69,11,0.15,15,0.20,291,3.88,141,1.88,5,0.07,455,6.07,17,0.23,11,0.15,15,0.20,1,0.01,-,-,21,1.31,-,-,2,0.15,46,3.54,-,-,-,-,221,1.84
2024,45,栃木県,47,0.62,11,0.23,3,0.06,45,0.94,47,0.98,13,0.27,398,8.29,20,0.42,11,0.23,3,0.06,3,0.06,-,-,5,0.42,-,-,-,-,9,1.29,-,-,1,0.14,115,1.51
