年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2016,49,総数,16404,3.31,2950,,1471,0.46,8109,2.56,61547,19.45,2044,0.65,1637,0.52,410,0.13,1196,0.38,56,0.02,291,0.09,3129,0.99,8,0.01,467,0.67,7,0.01,15,0.03,573,1.21,5,0.01,25,0.05
2016,49,北海道,1474,6.52,211,,72,0.51,763,5.37,785,5.53,174,1.23,32,0.23,15,0.11,40,0.28,-,-,11,0.08,124,0.87,-,-,9,0.31,-,-,-,-,23,1.00,-,-,1,0.04
2016,49,青森県,72,1.11,15,,18,0.43,62,1.48,361,8.60,5,0.12,9,0.21,10,0.24,12,0.29,-,-,10,0.24,6,0.14,-,-,11,1.00,-,-,-,-,3,0.50,-,-,1,0.17
2016,49,岩手県,581,8.94,23,,24,0.60,139,3.48,439,10.98,14,0.35,9,0.23,-,-,16,0.40,-,-,11,0.28,27,0.68,-,-,1,0.07,-,-,3,0.16,15,0.79,-,-,2,0.11
2016,49,宮城県,421,4.43,27,,14,0.24,236,4.00,2445,41.44,69,1.17,8,0.14,2,0.03,31,0.53,-,-,1,0.02,12,0.20,-,-,2,0.17,-,-,-,-,11,0.92,-,-,-,-
2016,49,秋田県,164,3.04,20,,13,0.37,81,2.31,270,7.71,25,0.71,2,0.06,-,-,6,0.17,-,-,4,0.11,9,0.26,1,0.14,-,-,-,-,-,-,13,1.63,-,-,1,0.13
2016,49,山形県,70,1.46,33,,12,0.40,196,6.53,1361,45.37,18,0.60,4,0.13,-,-,10,0.33,-,-,2,0.07,57,1.90,-,-,-,-,-,-,-,-,6,0.60,-,-,-,-
2016,49,福島県,513,6.66,89,,12,0.26,112,2.43,905,19.67,48,1.04,9,0.20,25,0.54,25,0.54,1,0.02,2,0.04,12,0.26,-,-,10,0.83,-,-,-,-,6,1.00,-,-,1,0.17
2016,49,茨城県,289,2.41,27,,14,0.19,187,2.49,1487,19.83,40,0.53,36,0.48,7,0.09,18,0.24,-,-,5,0.07,23,0.31,1,0.06,15,0.88,-,-,-,-,16,1.23,-,-,-,-
2016,49,栃木県,766,10.08,53,,18,0.38,69,1.44,738,15.38,26,0.54,12,0.25,4,0.08,29,0.60,-,-,4,0.08,13,0.27,-,-,13,1.08,-,-,-,-,8,1.14,-,-,-,-
2016,49,群馬県,408,4.34,37,,44,0.76,175,3.02,1010,17.41,21,0.36,35,0.60,15,0.26,21,0.36,-,-,4,0.07,35,0.60,-,-,15,1.07,-,-,-,-,23,2.88,-,-,-,-
2016,49,埼玉県,977,3.86,62,,67,0.42,553,3.43,4973,30.89,120,0.75,71,0.44,15,0.09,63,0.39,1,0.01,7,0.04,147,0.91,-,-,23,0.56,-,-,-,-,17,1.70,-,-,-,-
