年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,百日咳_報告,百日咳_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当
2013,19,総数,9410,1.91,388,,1490,0.47,5934,1.88,25357,8.04,4877,1.55,1196,0.38,266,0.08,1915,0.61,26,0.01,216,0.07,816,0.26,31,0.05,442,0.65,3,0.01,16,0.03,211,0.45,26,0.06
2013,19,北海道,511,2.25,37,,92,0.64,358,2.50,859,6.01,186,1.30,6,0.04,1,0.01,50,0.35,1,0.01,2,0.01,19,0.13,1,0.03,9,0.31,-,-,-,-,5,0.22,-,-
2013,19,青森県,208,3.25,3,,11,0.27,38,0.93,141,3.44,20,0.49,7,0.17,2,0.05,23,0.56,-,-,-,-,8,0.20,-,-,2,0.18,-,-,-,-,9,1.50,-,-
2013,19,岩手県,80,1.25,-,,12,0.30,87,2.18,275,6.88,78,1.95,-,-,15,0.38,16,0.40,-,-,1,0.03,36,0.90,-,-,8,0.57,-,-,-,-,24,1.26,-,-
2013,19,宮城県,127,1.37,3,,12,0.21,115,1.98,534,9.21,97,1.67,12,0.21,8,0.14,37,0.64,1,0.02,3,0.05,15,0.26,-,-,3,0.25,-,-,-,-,14,1.17,-,-
2013,19,秋田県,122,2.22,5,,7,0.20,34,0.97,206,5.89,38,1.09,1,0.03,7,0.20,18,0.51,-,-,-,-,34,0.97,1,0.14,4,0.57,-,-,-,-,4,0.50,-,-
2013,19,山形県,136,2.83,2,,11,0.37,92,3.07,362,12.07,40,1.33,13,0.43,2,0.07,29,0.97,-,-,-,-,15,0.50,-,-,1,0.13,-,-,-,-,6,0.60,-,-
2013,19,福島県,164,2.16,13,,14,0.31,118,2.62,335,7.44,59,1.31,3,0.07,2,0.04,24,0.53,1,0.02,-,-,22,0.49,-,-,12,1.00,-,-,-,-,7,1.00,1,0.14
2013,19,茨城県,18,0.15,7,,21,0.28,139,1.85,522,6.96,114,1.52,8,0.11,4,0.05,30,0.40,1,0.01,1,0.01,5,0.07,1,0.06,33,1.94,-,-,-,-,6,0.46,-,-
2013,19,栃木県,29,0.38,8,,14,0.29,80,1.67,233,4.85,71,1.48,11,0.23,3,0.06,30,0.63,-,-,2,0.04,10,0.21,-,-,8,0.67,-,-,1,0.14,1,0.14,10,1.43
