年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2020,23,総数,16,0.00,24,0.01,342,0.11,2218,0.70,4877,1.55,303,0.10,333,0.11,102,0.03,1623,0.52,124,0.04,163,0.05,1,0.00,115,0.17,11,0.02,11,0.02,36,0.08,4,0.01,2,0.00
2020,23,北海道,1,0.00,7,0.05,24,0.18,84,0.61,64,0.47,4,0.03,6,0.04,4,0.03,54,0.39,4,0.03,2,0.01,-,-,4,0.14,1,0.04,-,-,3,0.13,-,-,-,-
2020,23,青森県,-,-,1,0.02,8,0.19,19,0.45,93,2.21,9,0.21,7,0.17,4,0.10,25,0.60,2,0.05,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,岩手県,1,0.02,-,-,24,0.59,105,2.56,116,2.83,6,0.15,2,0.05,-,-,31,0.76,1,0.02,2,0.05,-,-,2,0.14,-,-,-,-,4,0.21,-,-,-,-
2020,23,宮城県,-,-,1,0.02,3,0.05,33,0.57,51,0.88,3,0.05,14,0.24,-,-,40,0.69,1,0.02,4,0.07,-,-,1,0.08,-,-,-,-,2,0.17,-,-,-,-
2020,23,秋田県,-,-,-,-,5,0.14,27,0.77,33,0.94,4,0.11,2,0.06,2,0.06,6,0.17,-,-,2,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,山形県,1,0.02,1,0.03,6,0.21,59,2.03,43,1.48,4,0.14,1,0.03,6,0.21,23,0.79,-,-,2,0.07,-,-,1,0.13,1,0.10,-,-,-,-,-,-,-,-
2020,23,福島県,1,0.01,1,0.02,10,0.20,35,0.70,36,0.72,8,0.16,4,0.08,1,0.02,43,0.86,1,0.02,3,0.06,-,-,4,0.31,-,-,-,-,-,-,-,-,-,-
2020,23,茨城県,-,-,-,-,6,0.08,46,0.61,103,1.37,8,0.11,8,0.11,-,-,25,0.33,1,0.01,3,0.04,-,-,7,0.41,-,-,-,-,-,-,-,-,-,-
2020,23,栃木県,5,0.07,-,-,12,0.25,23,0.48,29,0.60,3,0.06,6,0.13,1,0.02,28,0.58,-,-,3,0.06,-,-,4,0.33,-,-,1,0.14,1,0.14,1,0.14,-,-
2020,23,群馬県,-,-,-,-,5,0.09,24,0.44,90,1.67,10,0.19,7,0.13,-,-,20,0.37,-,-,5,0.09,-,-,5,0.33,-,-,-,-,3,0.33,-,-,-,-
2020,23,埼玉県,-,-,-,-,9,0.06,70,0.43,216,1.33,12,0.07,22,0.14,6,0.04,70,0.43,4,0.02,11,0.07,-,-,9,0.23,1,0.09,-,-,1,0.09,-,-,-,-
2020,23,千葉県,-,-,-,-,2,0.02,65,0.50,144,1.11,8,0.06,12,0.09,3,0.02,49,0.38,-,-,14,0.11,-,-,4,0.12,-,-,-,-,-,-,-,-,1,0.11
2020,23,東京都,-,-,-,-,4,0.02,75,0.29,367,1.41,18,0.07,25,0.10,4,0.02,118,0.45,3,0.01,11,0.04,-,-,6,0.16,-,-,-,-,2,0.08,-,-,-,-
2020,23,神奈川県,-,-,1,0.00,5,0.02,87,0.39,235,1.06,33,0.15,22,0.10,3,0.01,82,0.37,5,0.02,12,0.05,-,-,11,0.22,-,-,-,-,-,-,1,0.10,-,-
2020,23,新潟県,-,-,1,0.02,23,0.40,102,1.79,58,1.02,9,0.16,5,0.09,4,0.07,47,0.82,-,-,2,0.04,-,-,1,0.10,1,0.08,-,-,2,0.15,-,-,-,-
2020,23,富山県,-,-,-,-,2,0.07,16,0.55,61,2.10,1,0.03,1,0.03,1,0.03,8,0.28,-,-,-,-,-,-,-,-,1,0.20,-,-,-,-,-,-,-,-
2020,23,石川県,-,-,-,-,3,0.10,32,1.10,50,1.72,-,-,-,-,1,0.03,19,0.66,-,-,1,0.03,-,-,-,-,-,-,-,-,3,0.60,-,-,1,0.20
2020,23,福井県,-,-,-,-,3,0.13,20,0.87,35,1.52,1,0.04,2,0.09,-,-,11,0.48,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,2,0.33,-,-
2020,23,山梨県,-,-,-,-,-,-,12,0.50,28,1.17,1,0.04,-,-,-,-,4,0.17,-,-,3,0.13,-,-,4,0.44,-,-,2,0.20,-,-,-,-,-,-
2020,23,長野県,-,-,-,-,-,-,26,0.48,141,2.61,5,0.09,3,0.06,4,0.07,27,0.50,6,0.11,3,0.06,-,-,2,0.18,1,0.09,2,0.18,-,-,-,-,-,-
2020,23,岐阜県,-,-,-,-,1,0.02,4,0.08,31,0.60,4,0.08,3,0.06,-,-,19,0.37,4,0.08,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,静岡県,-,-,-,-,6,0.07,48,0.54,160,1.80,7,0.08,13,0.15,4,0.04,51,0.57,1,0.01,2,0.02,-,-,1,0.05,-,-,-,-,3,0.30,-,-,-,-
2020,23,愛知県,-,-,1,0.01,10,0.05,102,0.56,241,1.32,6,0.03,17,0.09,8,0.04,54,0.30,3,0.02,3,0.02,-,-,-,-,1,0.07,-,-,-,-,-,-,-,-
2020,23,三重県,-,-,-,-,3,0.07,22,0.49,60,1.33,9,0.20,2,0.04,2,0.04,14,0.31,6,0.13,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,滋賀県,-,-,-,-,2,0.06,11,0.31,62,1.72,6,0.17,5,0.14,2,0.06,8,0.22,2,0.06,2,0.06,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-
2020,23,京都府,-,-,-,-,3,0.04,53,0.69,75,0.97,6,0.08,12,0.16,2,0.03,35,0.45,6,0.08,4,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,大阪府,3,0.01,3,0.02,5,0.03,73,0.37,291,1.49,20,0.10,15,0.08,2,0.01,93,0.48,8,0.04,10,0.05,-,-,3,0.06,-,-,1,0.06,-,-,-,-,-,-
2020,23,兵庫県,-,-,-,-,3,0.02,47,0.37,242,1.89,7,0.05,17,0.13,2,0.02,56,0.44,4,0.03,3,0.02,-,-,8,0.23,1,0.07,-,-,1,0.07,-,-,-,-
2020,23,奈良県,-,-,-,-,3,0.09,18,0.53,29,0.85,1,0.03,4,0.12,2,0.06,19,0.56,1,0.03,2,0.06,-,-,1,0.10,-,-,1,0.17,-,-,-,-,-,-
2020,23,和歌山県,-,-,-,-,-,-,17,0.57,17,0.57,3,0.10,2,0.07,1,0.03,16,0.53,-,-,1,0.03,-,-,-,-,-,-,1,0.09,1,0.09,-,-,-,-
2020,23,鳥取県,-,-,-,-,7,0.37,61,3.21,50,2.63,4,0.21,2,0.11,3,0.16,11,0.58,1,0.05,-,-,-,-,1,0.20,-,-,-,-,-,-,-,-,-,-
2020,23,島根県,-,-,3,0.13,2,0.09,16,0.70,50,2.17,2,0.09,2,0.09,1,0.04,21,0.91,1,0.04,-,-,-,-,-,-,-,-,2,0.25,-,-,-,-,-,-
2020,23,岡山県,-,-,-,-,3,0.06,23,0.43,109,2.02,3,0.06,5,0.09,-,-,16,0.30,-,-,4,0.07,-,-,2,0.17,-,-,-,-,-,-,-,-,-,-
2020,23,広島県,-,-,-,-,10,0.14,35,0.49,143,2.01,4,0.06,-,-,2,0.03,30,0.42,-,-,8,0.11,-,-,7,0.37,-,-,-,-,1,0.05,-,-,-,-
2020,23,山口県,-,-,3,0.07,6,0.13,48,1.04,80,1.74,3,0.07,5,0.11,3,0.07,40,0.87,1,0.02,2,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,徳島県,-,-,-,-,2,0.09,5,0.22,27,1.17,-,-,1,0.04,-,-,11,0.48,-,-,3,0.13,-,-,1,0.25,-,-,1,0.14,1,0.14,-,-,-,-
2020,23,香川県,1,0.02,-,-,1,0.04,1,0.04,58,2.07,5,0.18,4,0.14,1,0.04,18,0.64,4,0.14,3,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,愛媛県,-,-,-,-,4,0.11,51,1.38,113,3.05,-,-,3,0.08,4,0.11,36,0.97,-,-,2,0.05,1,0.13,6,0.75,1,0.17,-,-,-,-,-,-,-,-
2020,23,高知県,-,-,-,-,3,0.11,14,0.50,24,0.86,3,0.11,2,0.07,4,0.14,14,0.50,2,0.07,1,0.04,-,-,-,-,-,-,-,-,3,0.38,-,-,-,-
2020,23,福岡県,-,-,-,-,16,0.13,239,1.99,314,2.62,22,0.18,22,0.18,3,0.03,84,0.70,4,0.03,9,0.08,-,-,5,0.19,-,-,-,-,-,-,-,-,-,-
2020,23,佐賀県,-,-,-,-,12,0.52,31,1.35,29,1.26,3,0.13,3,0.13,1,0.04,23,1.00,3,0.13,-,-,-,-,2,0.50,-,-,-,-,-,-,-,-,-,-
2020,23,長崎県,-,-,-,-,4,0.09,93,2.11,62,1.41,10,0.23,1,0.02,4,0.09,30,0.68,9,0.20,1,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,熊本県,-,-,-,-,16,0.32,30,0.60,108,2.16,7,0.14,12,0.24,1,0.02,54,1.08,-,-,1,0.02,-,-,7,0.78,-,-,-,-,1,0.07,-,-,-,-
2020,23,大分県,-,-,-,-,7,0.19,20,0.56,137,3.81,8,0.22,7,0.19,1,0.03,38,1.06,2,0.06,2,0.06,-,-,2,0.40,-,-,-,-,4,0.36,-,-,-,-
2020,23,宮崎県,-,-,1,0.03,15,0.42,92,2.56,142,3.94,9,0.25,5,0.14,2,0.06,46,1.28,2,0.06,3,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,23,鹿児島県,-,-,-,-,36,0.68,81,1.53,190,3.58,2,0.04,15,0.28,2,0.04,44,0.83,20,0.38,8,0.15,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
2020,23,沖縄県,3,0.05,-,-,8,0.24,23,0.70,40,1.21,2,0.06,5,0.15,1,0.03,12,0.36,10,0.30,1,0.03,-,-,2,0.22,1,0.14,-,-,-,-,-,-,-,-
2020,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
