年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2020,13,総数,1335,0.27,344,0.11,622,0.20,5016,1.59,6613,2.10,743,0.24,229,0.07,679,0.22,922,0.29,46,0.01,152,0.05,10,0.01,217,0.31,10,0.02,5,0.01,100,0.21,7,0.01,6,0.01
2020,13,北海道,54,0.24,2,0.01,17,0.12,159,1.14,80,0.58,31,0.22,1,0.01,59,0.42,21,0.15,2,0.01,4,0.03,-,-,3,0.10,2,0.09,-,-,2,0.09,-,-,-,-
2020,13,青森県,81,1.25,13,0.31,4,0.10,70,1.67,80,1.90,5,0.12,4,0.10,16,0.38,18,0.43,-,-,1,0.02,-,-,2,0.18,-,-,-,-,2,0.33,-,-,-,-
2020,13,岩手県,58,0.88,4,0.10,5,0.12,80,1.95,71,1.73,12,0.29,23,0.56,11,0.27,11,0.27,-,-,3,0.07,-,-,3,0.21,-,-,-,-,-,-,-,-,-,-
2020,13,宮城県,32,0.34,6,0.10,18,0.31,119,2.05,97,1.67,12,0.21,15,0.26,3,0.05,15,0.26,-,-,4,0.07,-,-,1,0.08,-,-,-,-,3,0.25,-,-,1,0.08
2020,13,秋田県,30,0.56,-,-,2,0.06,21,0.60,69,1.97,-,-,8,0.23,4,0.11,5,0.14,1,0.03,2,0.06,-,-,2,0.29,-,-,-,-,1,0.13,-,-,-,-
2020,13,山形県,7,0.15,7,0.23,10,0.33,101,3.37,66,2.20,5,0.17,-,-,13,0.43,10,0.33,-,-,1,0.03,-,-,2,0.25,-,-,-,-,-,-,1,0.10,-,-
2020,13,福島県,12,0.14,13,0.26,11,0.22,92,1.84,83,1.66,19,0.38,3,0.06,21,0.42,21,0.42,-,-,2,0.04,-,-,5,0.38,-,-,-,-,2,0.29,-,-,-,-
2020,13,茨城県,3,0.03,5,0.07,7,0.09,95,1.27,96,1.28,14,0.19,-,-,10,0.13,11,0.15,-,-,1,0.01,-,-,5,0.29,-,-,-,-,2,0.17,-,-,1,0.08
2020,13,栃木県,5,0.07,6,0.13,5,0.10,45,0.94,37,0.77,10,0.21,1,0.02,8,0.17,12,0.25,-,-,1,0.02,-,-,5,0.42,-,-,-,-,3,0.43,-,-,-,-
2020,13,群馬県,29,0.34,2,0.04,8,0.15,61,1.15,105,1.98,7,0.13,3,0.06,16,0.30,8,0.15,1,0.02,5,0.09,-,-,4,0.27,-,-,-,-,4,0.44,1,0.11,-,-
2020,13,埼玉県,62,0.25,11,0.07,37,0.24,217,1.38,393,2.50,54,0.34,6,0.04,15,0.10,43,0.27,1,0.01,13,0.08,2,0.05,13,0.33,1,0.09,-,-,4,0.36,-,-,-,-
2020,13,千葉県,18,0.08,8,0.06,23,0.17,260,1.95,211,1.59,21,0.16,2,0.02,15,0.11,38,0.29,2,0.02,8,0.06,-,-,10,0.29,-,-,-,-,-,-,-,-,-,-
2020,13,東京都,72,0.17,8,0.03,34,0.13,372,1.43,655,2.52,67,0.26,10,0.04,20,0.08,85,0.33,9,0.03,16,0.06,-,-,7,0.18,-,-,-,-,4,0.17,2,0.08,-,-
2020,13,神奈川県,31,0.09,24,0.11,17,0.08,310,1.38,416,1.86,51,0.23,6,0.03,15,0.07,57,0.25,1,0.00,10,0.04,1,0.02,36,0.69,2,0.18,1,0.09,2,0.18,-,-,-,-
2020,13,新潟県,16,0.18,17,0.30,17,0.30,199,3.49,82,1.44,23,0.40,1,0.02,12,0.21,35,0.61,-,-,2,0.04,-,-,5,0.50,-,-,-,-,4,0.31,-,-,-,-
2020,13,富山県,63,1.31,1,0.03,14,0.48,124,4.28,92,3.17,7,0.24,-,-,5,0.17,4,0.14,1,0.03,-,-,-,-,-,-,-,-,-,-,3,0.60,-,-,-,-
2020,13,石川県,23,0.48,2,0.07,12,0.41,114,3.93,82,2.83,15,0.52,2,0.07,7,0.24,6,0.21,-,-,2,0.07,-,-,-,-,-,-,-,-,2,0.40,-,-,-,-
2020,13,福井県,14,0.38,2,0.09,6,0.26,60,2.61,54,2.35,3,0.13,-,-,7,0.30,3,0.13,-,-,-,-,-,-,1,0.33,-,-,-,-,1,0.17,-,-,-,-
2020,13,山梨県,5,0.12,2,0.08,3,0.13,23,0.96,36,1.50,3,0.13,1,0.04,2,0.08,5,0.21,-,-,-,-,-,-,8,0.89,-,-,-,-,2,0.20,-,-,-,-
2020,13,長野県,14,0.16,8,0.15,3,0.06,57,1.06,132,2.44,16,0.30,1,0.02,21,0.39,12,0.22,4,0.07,1,0.02,-,-,-,-,-,-,1,0.09,1,0.09,-,-,-,-
2020,13,岐阜県,29,0.33,7,0.13,7,0.13,35,0.66,64,1.21,7,0.13,-,-,4,0.08,10,0.19,-,-,1,0.02,-,-,1,0.09,-,-,-,-,1,0.20,-,-,-,-
2020,13,静岡県,6,0.04,6,0.07,14,0.16,135,1.52,170,1.91,19,0.21,-,-,8,0.09,19,0.21,1,0.01,2,0.02,-,-,11,0.50,-,-,2,0.20,2,0.20,-,-,-,-
2020,13,愛知県,65,0.33,14,0.08,36,0.20,182,1.00,314,1.73,22,0.12,7,0.04,17,0.09,37,0.20,3,0.02,4,0.02,-,-,7,0.20,1,0.07,-,-,2,0.13,-,-,1,0.07
2020,13,三重県,24,0.33,8,0.18,15,0.33,48,1.07,87,1.93,6,0.13,2,0.04,17,0.38,10,0.22,-,-,2,0.04,-,-,-,-,-,-,-,-,2,0.22,-,-,-,-
2020,13,滋賀県,8,0.15,-,-,14,0.45,38,1.23,49,1.58,5,0.16,-,-,4,0.13,5,0.16,-,-,-,-,-,-,1,0.13,-,-,-,-,4,0.57,-,-,-,-
2020,13,京都府,74,0.59,4,0.05,10,0.13,118,1.53,121,1.57,9,0.12,3,0.04,17,0.22,18,0.23,1,0.01,3,0.04,-,-,3,0.17,-,-,-,-,3,0.43,-,-,-,-
2020,13,大阪府,157,0.52,27,0.14,27,0.14,254,1.29,391,1.98,38,0.19,10,0.05,34,0.17,71,0.36,4,0.02,6,0.03,-,-,14,0.27,-,-,-,-,4,0.25,1,0.06,-,-
2020,13,兵庫県,67,0.34,20,0.16,24,0.19,102,0.80,246,1.92,23,0.18,3,0.02,27,0.21,38,0.30,1,0.01,8,0.06,1,0.03,22,0.63,3,0.21,-,-,3,0.21,-,-,1,0.07
2020,13,奈良県,12,0.22,5,0.15,10,0.29,62,1.82,61,1.79,5,0.15,6,0.18,12,0.35,8,0.24,1,0.03,-,-,-,-,1,0.10,-,-,-,-,2,0.33,1,0.17,-,-
2020,13,和歌山県,3,0.06,9,0.30,4,0.13,25,0.83,32,1.07,2,0.07,1,0.03,6,0.20,11,0.37,-,-,-,-,4,1.00,-,-,1,0.09,-,-,1,0.09,-,-,-,-
2020,13,鳥取県,1,0.03,2,0.11,8,0.42,64,3.37,50,2.63,2,0.11,1,0.05,15,0.79,4,0.21,-,-,1,0.05,-,-,-,-,-,-,-,-,1,0.20,-,-,-,-
