年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当,COVID-19_報告,COVID-19_定当
2025,01,総数,141998,33.82,446,0.17,310,0.12,1608,0.61,2881,1.09,365,0.14,233,0.09,428,0.16,138,0.05,10,0.00,38,0.01,9,0.02,124,0.22,8,0.02,7,0.01,368,0.77,-,-,11,0.02,22357,5.32
2025,01,北海道,6490,34.71,62,0.59,15,0.14,116,1.10,51,0.49,33,0.31,25,0.24,6,0.06,2,0.02,-,-,3,0.03,1,0.04,3,0.13,-,-,-,-,11,0.50,-,-,-,-,2178,11.65
2025,01,青森県,1721,36.62,7,0.22,11,0.34,12,0.38,19,0.59,1,0.03,1,0.03,12,0.38,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,5,0.83,-,-,-,-,443,9.43
2025,01,岩手県,2200,35.48,8,0.21,7,0.18,24,0.62,62,1.59,8,0.21,11,0.28,10,0.26,2,0.05,-,-,2,0.05,-,-,-,-,-,-,-,-,26,1.37,-,-,-,-,747,12.05
2025,01,宮城県,1519,16.69,5,0.09,24,0.44,31,0.56,48,0.87,11,0.20,2,0.04,19,0.35,5,0.09,-,-,1,0.02,-,-,-,-,-,-,-,-,5,0.50,-,-,-,-,401,4.41
2025,01,秋田県,261,12.43,5,0.33,-,-,1,0.07,11,0.73,3,0.20,5,0.33,-,-,-,-,-,-,-,-,1,0.33,3,1.00,-,-,-,-,4,0.50,-,-,-,-,106,5.05
2025,01,山形県,674,25.92,4,0.22,7,0.39,17,0.94,15,0.83,4,0.22,7,0.39,7,0.39,3,0.17,-,-,-,-,-,-,-,-,-,-,-,-,10,1.00,-,-,-,-,119,4.58
2025,01,福島県,3841,46.84,8,0.16,17,0.35,39,0.80,50,1.02,8,0.16,6,0.12,11,0.22,3,0.06,-,-,-,-,-,-,13,1.00,-,-,-,-,6,0.86,-,-,-,-,1091,13.30
2025,01,茨城県,6018,60.18,15,0.25,10,0.16,179,2.93,79,1.30,1,0.02,13,0.21,6,0.10,4,0.07,2,0.03,3,0.05,-,-,12,1.00,-,-,-,-,13,1.00,-,-,-,-,1221,12.21
2025,01,栃木県,1460,28.63,11,0.33,3,0.09,27,0.82,17,0.52,3,0.09,10,0.30,14,0.42,6,0.18,-,-,1,0.03,-,-,1,0.11,-,-,-,-,2,0.29,-,-,-,-,387,7.59
2025,01,群馬県,1964,35.71,5,0.14,7,0.20,16,0.46,47,1.34,11,0.31,2,0.06,8,0.23,3,0.09,-,-,-,-,-,-,1,0.17,-,-,1,0.11,5,0.56,-,-,1,0.11,378,6.87
2025,01,埼玉県,6174,46.07,31,0.35,17,0.19,72,0.81,99,1.11,17,0.19,11,0.12,71,0.80,6,0.07,1,0.01,2,0.02,2,0.11,5,0.28,-,-,1,0.08,24,2.00,-,-,1,0.08,900,6.72
2025,01,千葉県,4872,28.33,9,0.09,2,0.02,69,0.66,107,1.03,8,0.08,8,0.08,44,0.42,4,0.04,-,-,1,0.01,-,-,4,0.14,-,-,-,-,5,0.56,-,-,-,-,726,4.22
2025,01,東京都,4474,13.81,17,0.08,12,0.06,89,0.44,174,0.85,32,0.16,11,0.05,77,0.38,9,0.04,-,-,2,0.01,-,-,12,0.40,-,-,1,0.04,17,0.68,-,-,1,0.04,428,1.32
2025,01,神奈川県,2948,12.44,22,0.15,7,0.05,22,0.15,115,0.78,16,0.11,11,0.07,51,0.34,4,0.03,-,-,-,-,-,-,5,0.15,-,-,-,-,2,0.17,-,-,-,-,424,1.79
