年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2020,46,総数,23,0.00,325,0.10,657,0.21,2275,0.72,6567,2.08,637,0.20,326,0.10,44,0.01,1315,0.42,493,0.16,150,0.05,2,0.00,171,0.25,5,0.01,8,0.02,32,0.07,1,0.00,1,0.00
2020,46,北海道,3,0.01,3,0.02,65,0.46,152,1.09,109,0.78,25,0.18,3,0.02,-,-,43,0.31,4,0.03,3,0.02,-,-,1,0.03,-,-,-,-,5,0.22,-,-,-,-
2020,46,青森県,-,-,1,0.02,6,0.14,10,0.24,59,1.40,6,0.14,-,-,-,-,14,0.33,2,0.05,1,0.02,-,-,2,0.18,-,-,-,-,1,0.17,-,-,-,-
2020,46,岩手県,-,-,26,0.63,9,0.22,54,1.32,83,2.02,8,0.20,1,0.02,4,0.10,23,0.56,3,0.07,-,-,-,-,6,0.43,-,-,-,-,-,-,-,-,-,-
2020,46,宮城県,-,-,-,-,5,0.09,17,0.29,95,1.64,8,0.14,-,-,-,-,31,0.53,-,-,2,0.03,-,-,3,0.25,-,-,1,0.08,2,0.17,-,-,-,-
2020,46,秋田県,-,-,-,-,3,0.09,21,0.60,29,0.83,17,0.49,-,-,-,-,4,0.11,1,0.03,-,-,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-
2020,46,山形県,-,-,1,0.03,7,0.24,25,0.86,248,8.55,3,0.10,-,-,-,-,17,0.59,38,1.31,2,0.07,-,-,6,0.75,-,-,-,-,1,0.10,-,-,-,-
2020,46,福島県,-,-,1,0.02,7,0.14,60,1.20,45,0.90,25,0.50,10,0.20,-,-,26,0.52,24,0.48,1,0.02,-,-,6,0.46,-,-,-,-,-,-,-,-,-,-
2020,46,茨城県,-,-,-,-,7,0.09,61,0.81,99,1.32,11,0.15,6,0.08,-,-,20,0.27,4,0.05,2,0.03,-,-,8,0.47,-,-,-,-,2,0.17,-,-,-,-
2020,46,栃木県,-,-,-,-,7,0.15,26,0.54,30,0.63,13,0.27,1,0.02,1,0.02,29,0.60,7,0.15,3,0.06,-,-,5,0.42,-,-,1,0.14,1,0.14,-,-,-,-
2020,46,群馬県,-,-,-,-,6,0.11,13,0.24,64,1.19,20,0.37,-,-,-,-,33,0.61,4,0.07,3,0.06,-,-,6,0.40,-,-,-,-,-,-,-,-,-,-
2020,46,埼玉県,-,-,-,-,29,0.18,107,0.66,394,2.43,43,0.27,9,0.06,3,0.02,73,0.45,10,0.06,15,0.09,-,-,12,0.30,-,-,-,-,-,-,-,-,-,-
2020,46,千葉県,-,-,1,0.01,18,0.13,71,0.53,140,1.04,33,0.25,-,-,2,0.01,51,0.38,13,0.10,11,0.08,1,0.03,8,0.24,-,-,3,0.33,1,0.11,-,-,-,-
2020,46,東京都,2,0.00,2,0.01,32,0.12,124,0.48,615,2.37,49,0.19,8,0.03,7,0.03,126,0.49,8,0.03,21,0.08,-,-,16,0.42,-,-,-,-,6,0.25,-,-,-,-
2020,46,神奈川県,2,0.01,1,0.00,15,0.07,125,0.57,369,1.67,39,0.18,2,0.01,3,0.01,89,0.40,1,0.00,10,0.05,-,-,13,0.27,-,-,1,0.10,-,-,-,-,-,-
2020,46,新潟県,2,0.02,-,-,18,0.32,98,1.72,142,2.49,13,0.23,-,-,-,-,36,0.63,-,-,1,0.02,-,-,-,-,-,-,-,-,1,0.08,-,-,-,-
