年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2022,29,総数,184,0.04,7170,2.30,618,0.20,819,0.26,9446,3.02,210,0.07,6684,2.14,31,0.01,942,0.30,1682,0.54,92,0.03,7,0.01,137,0.20,5,0.01,11,0.02,3,0.01,-,-,-,-
2022,29,北海道,-,-,207,1.48,43,0.31,66,0.47,208,1.49,11,0.08,271,1.94,2,0.01,29,0.21,86,0.61,1,0.01,-,-,3,0.11,1,0.04,1,0.04,-,-,-,-,-,-
2022,29,青森県,1,0.02,2,0.05,1,0.02,-,-,55,1.31,1,0.02,35,0.83,-,-,13,0.31,8,0.19,1,0.02,-,-,1,0.09,-,-,1,0.17,1,0.17,-,-,-,-
2022,29,岩手県,1,0.02,-,-,7,0.18,17,0.43,96,2.40,5,0.13,12,0.30,-,-,18,0.45,4,0.10,2,0.05,-,-,4,0.29,-,-,-,-,-,-,-,-,-,-
2022,29,宮城県,-,-,14,0.25,7,0.12,7,0.12,176,3.09,5,0.09,90,1.58,-,-,28,0.49,24,0.42,1,0.02,-,-,5,0.42,-,-,-,-,-,-,-,-,-,-
2022,29,秋田県,-,-,52,1.49,3,0.09,12,0.34,51,1.46,2,0.06,100,2.86,-,-,6,0.17,2,0.06,1,0.03,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,29,山形県,-,-,8,0.28,12,0.41,6,0.21,68,2.34,3,0.10,15,0.52,-,-,9,0.31,10,0.34,3,0.10,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
2022,29,福島県,-,-,27,0.54,27,0.54,17,0.34,69,1.38,2,0.04,62,1.24,2,0.04,32,0.64,9,0.18,4,0.08,-,-,5,0.38,-,-,1,0.14,-,-,-,-,-,-
2022,29,茨城県,2,0.02,10,0.13,8,0.11,15,0.20,179,2.39,3,0.04,223,2.97,-,-,13,0.17,83,1.11,2,0.03,-,-,4,0.24,-,-,-,-,-,-,-,-,-,-
2022,29,栃木県,1,0.01,52,1.08,2,0.04,8,0.17,70,1.46,3,0.06,105,2.19,3,0.06,18,0.38,6,0.13,-,-,-,-,3,0.25,-,-,-,-,-,-,-,-,-,-
2022,29,群馬県,-,-,14,0.26,12,0.23,2,0.04,154,2.91,3,0.06,158,2.98,-,-,22,0.42,48,0.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,29,埼玉県,1,0.00,281,1.77,19,0.12,64,0.40,714,4.49,7,0.04,749,4.71,2,0.01,42,0.26,170,1.07,3,0.02,3,0.07,12,0.29,1,0.09,-,-,1,0.09,-,-,-,-
2022,29,千葉県,2,0.01,189,1.52,15,0.12,23,0.19,372,3.00,8,0.06,840,6.77,-,-,37,0.30,141,1.14,5,0.04,1,0.03,6,0.18,-,-,1,0.11,-,-,-,-,-,-
2022,29,東京都,6,0.01,392,1.56,36,0.14,37,0.15,772,3.06,27,0.11,781,3.10,2,0.01,57,0.23,247,0.98,6,0.02,-,-,5,0.13,-,-,2,0.08,-,-,-,-,-,-
2022,29,神奈川県,13,0.04,269,1.25,20,0.09,51,0.24,541,2.52,7,0.03,578,2.69,2,0.01,50,0.23,172,0.80,9,0.04,-,-,22,0.46,-,-,-,-,-,-,-,-,-,-
2022,29,新潟県,1,0.01,-,-,17,0.30,37,0.66,196,3.50,24,0.43,557,9.95,-,-,24,0.43,128,2.29,3,0.05,1,0.10,1,0.10,-,-,-,-,-,-,-,-,-,-
2022,29,富山県,-,-,1,0.03,9,0.31,2,0.07,107,3.69,3,0.10,85,2.93,-,-,11,0.38,7,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,29,石川県,-,-,7,0.24,7,0.24,3,0.10,103,3.55,2,0.07,36,1.24,-,-,7,0.24,6,0.21,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2022,29,福井県,2,0.06,22,0.96,2,0.09,9,0.39,76,3.30,1,0.04,83,3.61,-,-,11,0.48,10,0.43,-,-,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
2022,29,山梨県,-,-,4,0.17,2,0.08,1,0.04,62,2.58,1,0.04,49,2.04,-,-,4,0.17,50,2.08,-,-,-,-,1,0.11,-,-,-,-,-,-,-,-,-,-
2022,29,長野県,-,-,29,0.54,1,0.02,3,0.06,186,3.44,6,0.11,162,3.00,-,-,13,0.24,27,0.50,5,0.09,-,-,3,0.27,-,-,-,-,-,-,-,-,-,-
2022,29,岐阜県,-,-,223,4.21,10,0.19,10,0.19,88,1.66,1,0.02,12,0.23,-,-,11,0.21,4,0.08,-,-,-,-,1,0.09,-,-,-,-,-,-,-,-,-,-
2022,29,静岡県,-,-,56,0.63,18,0.20,9,0.10,277,3.11,4,0.04,253,2.84,-,-,22,0.25,118,1.33,2,0.02,-,-,4,0.18,-,-,-,-,-,-,-,-,-,-
2022,29,愛知県,6,0.03,916,5.03,20,0.11,52,0.29,507,2.79,6,0.03,245,1.35,1,0.01,36,0.20,57,0.31,3,0.02,-,-,3,0.09,-,-,1,0.07,-,-,-,-,-,-
2022,29,三重県,3,0.04,556,12.64,10,0.23,6,0.14,177,4.02,-,-,42,0.95,-,-,7,0.16,8,0.18,1,0.02,-,-,-,-,-,-,1,0.11,-,-,-,-,-,-
2022,29,滋賀県,-,-,80,2.22,6,0.17,8,0.22,124,3.44,3,0.08,54,1.50,-,-,13,0.36,15,0.42,-,-,-,-,2,0.25,-,-,-,-,-,-,-,-,-,-
2022,29,京都府,5,0.04,217,3.06,24,0.34,45,0.63,175,2.46,5,0.07,38,0.54,-,-,11,0.15,2,0.03,1,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
