年,週,都道府県,インフルエンザ_報告,インフルエンザ_定当,ＲＳウイルス感染症_報告,ＲＳウイルス感染症_定当,咽頭結膜熱_報告,咽頭結膜熱_定当,Ａ群溶血性レンサ球菌咽頭炎_報告,Ａ群溶血性レンサ球菌咽頭炎_定当,感染性胃腸炎_報告,感染性胃腸炎_定当,水痘_報告,水痘_定当,手足口病_報告,手足口病_定当,伝染性紅斑_報告,伝染性紅斑_定当,突発性発しん_報告,突発性発しん_定当,ヘルパンギーナ_報告,ヘルパンギーナ_定当,流行性耳下腺炎_報告,流行性耳下腺炎_定当,急性出血性結膜炎_報告,急性出血性結膜炎_定当,流行性角結膜炎_報告,流行性角結膜炎_定当,細菌性髄膜炎_報告,細菌性髄膜炎_定当,無菌性髄膜炎_報告,無菌性髄膜炎_定当,マイコプラズマ肺炎_報告,マイコプラズマ肺炎_定当,クラミジア肺炎_報告,クラミジア肺炎_定当,感染性胃腸炎（ロタウイルス）_報告,感染性胃腸炎（ロタウイルス）_定当
2020,29,総数,3,0.00,52,0.02,560,0.18,2976,0.94,7127,2.25,320,0.10,385,0.12,52,0.02,1709,0.54,1096,0.35,180,0.06,4,0.01,132,0.19,5,0.01,11,0.02,24,0.05,1,0.00,1,0.00
2020,29,北海道,-,-,-,-,30,0.22,113,0.82,84,0.61,17,0.12,7,0.05,1,0.01,48,0.35,8,0.06,3,0.02,1,0.03,6,0.21,-,-,-,-,4,0.17,-,-,-,-
2020,29,青森県,-,-,-,-,12,0.29,12,0.29,48,1.14,5,0.12,-,-,1,0.02,22,0.52,1,0.02,2,0.05,-,-,2,0.18,-,-,-,-,2,0.33,-,-,-,-
2020,29,岩手県,-,-,6,0.15,8,0.20,52,1.27,136,3.32,9,0.22,9,0.22,-,-,30,0.73,-,-,2,0.05,-,-,-,-,1,0.05,-,-,3,0.16,-,-,-,-
2020,29,宮城県,-,-,-,-,10,0.17,19,0.33,77,1.33,5,0.09,9,0.16,1,0.02,34,0.59,1,0.02,2,0.03,-,-,1,0.08,-,-,-,-,1,0.08,-,-,-,-
2020,29,秋田県,-,-,-,-,4,0.11,12,0.34,32,0.91,3,0.09,6,0.17,-,-,13,0.37,1,0.03,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
2020,29,山形県,-,-,-,-,27,0.93,60,2.07,50,1.72,1,0.03,1,0.03,2,0.07,23,0.79,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-,-,-,-,-
2020,29,福島県,-,-,-,-,10,0.20,56,1.12,79,1.58,3,0.06,1,0.02,1,0.02,34,0.68,1,0.02,5,0.10,-,-,4,0.31,-,-,-,-,-,-,-,-,-,-
2020,29,茨城県,-,-,-,-,15,0.20,47,0.63,152,2.03,4,0.05,4,0.05,-,-,31,0.41,2,0.03,3,0.04,1,0.06,12,0.71,-,-,-,-,1,0.08,-,-,-,-
2020,29,栃木県,-,-,1,0.02,1,0.02,31,0.65,57,1.19,2,0.04,10,0.21,-,-,24,0.50,2,0.04,4,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,29,群馬県,-,-,-,-,6,0.11,37,0.70,117,2.21,4,0.08,4,0.08,2,0.04,22,0.42,3,0.06,2,0.04,-,-,4,0.27,-,-,-,-,-,-,-,-,-,-
2020,29,埼玉県,-,-,2,0.01,17,0.11,138,0.87,502,3.16,20,0.13,17,0.11,3,0.02,108,0.68,9,0.06,11,0.07,1,0.03,7,0.18,-,-,2,0.18,-,-,-,-,-,-
2020,29,千葉県,-,-,-,-,2,0.02,219,1.66,216,1.64,12,0.09,3,0.02,1,0.01,72,0.55,8,0.06,5,0.04,1,0.03,4,0.12,1,0.11,1,0.11,-,-,-,-,-,-
2020,29,東京都,-,-,1,0.00,19,0.07,185,0.71,765,2.94,17,0.07,33,0.13,5,0.02,148,0.57,51,0.20,21,0.08,-,-,8,0.21,-,-,1,0.04,-,-,-,-,-,-
2020,29,神奈川県,-,-,2,0.01,16,0.07,202,0.88,444,1.93,18,0.08,19,0.08,4,0.02,119,0.52,11,0.05,11,0.05,-,-,20,0.39,-,-,1,0.10,-,-,-,-,-,-
2020,29,新潟県,-,-,1,0.02,16,0.28,97,1.70,83,1.46,7,0.12,3,0.05,-,-,36,0.63,-,-,1,0.02,-,-,2,0.20,-,-,-,-,-,-,1,0.08,-,-
2020,29,富山県,-,-,-,-,2,0.07,27,0.93,123,4.24,1,0.03,3,0.10,2,0.07,11,0.38,5,0.17,1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,29,石川県,-,-,-,-,3,0.10,28,0.97,92,3.17,3,0.10,2,0.07,-,-,21,0.72,-,-,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,29,福井県,-,-,-,-,2,0.09,21,0.91,49,2.13,4,0.17,2,0.09,2,0.09,8,0.35,2,0.09,1,0.04,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
2020,29,山梨県,-,-,-,-,1,0.04,12,0.50,32,1.33,1,0.04,1,0.04,1,0.04,9,0.38,1,0.04,2,0.08,-,-,4,0.44,1,0.10,-,-,1,0.10,-,-,-,-
2020,29,長野県,-,-,-,-,1,0.02,51,0.94,129,2.39,7,0.13,2,0.04,4,0.07,22,0.41,25,0.46,3,0.06,-,-,1,0.09,-,-,-,-,-,-,-,-,-,-
2020,29,岐阜県,-,-,-,-,2,0.04,14,0.26,76,1.43,3,0.06,6,0.11,-,-,20,0.38,-,-,2,0.04,-,-,2,0.18,-,-,-,-,-,-,-,-,-,-
2020,29,静岡県,-,-,2,0.02,12,0.13,55,0.62,214,2.40,8,0.09,12,0.13,2,0.02,37,0.42,1,0.01,7,0.08,-,-,6,0.27,1,0.10,-,-,-,-,-,-,-,-
2020,29,愛知県,-,-,2,0.01,14,0.08,152,0.84,330,1.81,14,0.08,9,0.05,2,0.01,67,0.37,19,0.10,6,0.03,-,-,1,0.03,-,-,-,-,1,0.07,-,-,1,0.07
2020,29,三重県,-,-,-,-,11,0.25,12,0.27,101,2.30,2,0.05,3,0.07,-,-,26,0.59,2,0.05,-,-,-,-,-,-,1,0.11,1,0.11,1,0.11,-,-,-,-
2020,29,滋賀県,-,-,-,-,2,0.06,25,0.71,71,2.03,1,0.03,3,0.09,-,-,10,0.29,9,0.26,9,0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,29,京都府,-,-,-,-,8,0.10,60,0.78,109,1.42,6,0.08,1,0.01,-,-,39,0.51,4,0.05,2,0.03,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-
2020,29,大阪府,-,-,1,0.01,30,0.15,122,0.62,417,2.13,14,0.07,13,0.07,2,0.01,111,0.57,31,0.16,19,0.10,-,-,4,0.08,-,-,1,0.06,1,0.06,-,-,-,-
2020,29,兵庫県,1,0.01,-,-,13,0.10,55,0.43,404,3.13,15,0.12,10,0.08,4,0.03,50,0.39,12,0.09,5,0.04,-,-,6,0.17,-,-,1,0.07,-,-,-,-,-,-
2020,29,奈良県,-,-,-,-,5,0.15,12,0.35,72,2.12,1,0.03,5,0.15,1,0.03,25,0.74,3,0.09,2,0.06,-,-,2,0.20,-,-,-,-,-,-,-,-,-,-
2020,29,和歌山県,-,-,-,-,6,0.20,12,0.40,38,1.27,3,0.10,1,0.03,-,-,16,0.53,1,0.03,-,-,-,-,-,-,-,-,-,-,3,0.27,-,-,-,-
2020,29,鳥取県,-,-,-,-,9,0.47,64,3.37,50,2.63,4,0.21,-,-,-,-,8,0.42,5,0.26,2,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,29,島根県,-,-,-,-,3,0.13,9,0.39,80,3.48,1,0.04,5,0.22,-,-,14,0.61,-,-,1,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,29,岡山県,-,-,20,0.37,14,0.26,30,0.56,120,2.22,11,0.20,4,0.07,1,0.02,24,0.44,9,0.17,1,0.02,-,-,1,0.08,-,-,-,-,-,-,-,-,-,-
2020,29,広島県,-,-,-,-,25,0.35,54,0.75,193,2.68,6,0.08,5,0.07,-,-,33,0.46,2,0.03,2,0.03,-,-,3,0.16,-,-,-,-,-,-,-,-,-,-
2020,29,山口県,-,-,-,-,10,0.22,45,0.98,84,1.83,1,0.02,10,0.22,1,0.02,36,0.78,8,0.17,2,0.04,-,-,2,0.22,-,-,-,-,1,0.11,-,-,-,-
2020,29,徳島県,-,-,1,0.04,6,0.26,6,0.26,43,1.87,4,0.17,6,0.26,1,0.04,14,0.61,1,0.04,2,0.09,-,-,1,0.25,-,-,-,-,1,0.14,-,-,-,-
2020,29,香川県,-,-,-,-,6,0.21,22,0.79,106,3.79,1,0.04,5,0.18,-,-,16,0.57,2,0.07,2,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,29,愛媛県,1,0.02,-,-,10,0.27,46,1.24,130,3.51,6,0.16,-,-,2,0.05,23,0.62,1,0.03,2,0.05,-,-,6,0.75,-,-,-,-,-,-,-,-,-,-
2020,29,高知県,-,-,-,-,11,0.39,13,0.46,40,1.43,9,0.32,26,0.93,-,-,9,0.32,6,0.21,2,0.07,-,-,-,-,-,-,-,-,1,0.13,-,-,-,-
2020,29,福岡県,-,-,4,0.03,36,0.30,327,2.73,404,3.37,15,0.13,47,0.39,3,0.03,96,0.80,212,1.77,8,0.07,-,-,3,0.12,-,-,-,-,-,-,-,-,-,-
2020,29,佐賀県,-,-,-,-,9,0.39,46,2.00,23,1.00,4,0.17,2,0.09,-,-,23,1.00,20,0.87,2,0.09,-,-,-,-,-,-,1,0.17,1,0.17,-,-,-,-
2020,29,長崎県,-,-,-,-,7,0.16,87,1.98,49,1.11,11,0.25,9,0.20,1,0.02,17,0.39,260,5.91,3,0.07,-,-,-,-,-,-,-,-,1,0.08,-,-,-,-
2020,29,熊本県,-,-,1,0.02,8,0.16,28,0.56,152,3.04,10,0.20,18,0.36,1,0.02,33,0.66,87,1.74,3,0.06,-,-,5,0.56,-,-,1,0.07,-,-,-,-,-,-
2020,29,大分県,-,-,-,-,11,0.31,31,0.86,185,5.14,1,0.03,1,0.03,-,-,42,1.17,27,0.75,1,0.03,-,-,1,0.20,-,-,-,-,1,0.09,-,-,-,-
2020,29,宮崎県,-,-,-,-,22,0.61,139,3.86,159,4.42,10,0.28,6,0.17,-,-,30,0.83,26,0.72,5,0.14,-,-,5,0.83,-,-,-,-,-,-,-,-,-,-
2020,29,鹿児島県,-,-,6,0.11,33,0.62,48,0.91,168,3.17,11,0.21,34,0.64,1,0.02,33,0.62,194,3.66,6,0.11,-,-,2,0.29,-,-,-,-,-,-,-,-,-,-
2020,29,沖縄県,1,0.02,2,0.06,35,1.03,43,1.26,42,1.24,5,0.15,8,0.24,-,-,22,0.65,23,0.68,3,0.09,-,-,4,0.44,-,-,-,-,-,-,-,-,-,-
2020,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
