年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,43,総数,245331,63.74
2025,43,北海道,12288,73.58
2025,43,青森県,3410,65.58
2025,43,岩手県,4600,109.52
2025,43,宮城県,5133,93.33
2025,43,秋田県,1621,64.84
2025,43,山形県,3263,85.87
2025,43,福島県,4010,83.54
2025,43,茨城県,5060,74.41
2025,43,栃木県,4115,87.55
2025,43,群馬県,4762,105.82
2025,43,埼玉県,16835,96.2
2025,43,千葉県,14325,77.85
2025,43,東京都,27757,66.4
2025,43,神奈川県,19943,83.1
2025,43,新潟県,3667,70.52
2025,43,富山県,3446,71.79
2025,43,石川県,2868,61.02
2025,43,福井県,1349,34.59
2025,43,山梨県,1428,40.8
2025,43,長野県,5043,63.04
2025,43,岐阜県,1848,41.07
2025,43,静岡県,7577,54.51
2025,43,愛知県,11099,68.09
2025,43,三重県,3400,48.57
2025,43,滋賀県,2802,48.31
2025,43,京都府,3656,57.13
2025,43,大阪府,11997,41.09
2025,43,兵庫県,8731,53.24
2025,43,奈良県,1631,38.83
2025,43,和歌山県,2132,47.38
2025,43,鳥取県,1635,56.38
2025,43,島根県,1078,53.9
2025,43,岡山県,2800,56
2025,43,広島県,4624,49.19
2025,43,山口県,3998,63.46
2025,43,徳島県,1293,38.03
2025,43,香川県,1878,46.95
2025,43,愛媛県,2787,75.32
2025,43,高知県,1421,37.39
2025,43,福岡県,6245,51.19
2025,43,佐賀県,1175,48.96
2025,43,長崎県,2891,56.69
2025,43,熊本県,3423,47.54
2025,43,大分県,3600,62.07
2025,43,宮崎県,1296,46.29
2025,43,鹿児島県,3168,55.58
2025,43,沖縄県,2223,49.4
