年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2026,02,総数,201687,53.43
2026,02,北海道,7461,44.68
2026,02,青森県,2326,44.73
2026,02,岩手県,2774,66.05
2026,02,宮城県,3565,64.82
2026,02,秋田県,1025,41
2026,02,山形県,2108,55.47
2026,02,福島県,2822,58.79
2026,02,茨城県,4489,67
2026,02,栃木県,3359,71.47
2026,02,群馬県,3140,69.78
2026,02,埼玉県,11188,64.67
2026,02,千葉県,10852,61.31
2026,02,東京都,19652,47.01
2026,02,神奈川県,14255,60.92
2026,02,新潟県,2651,50.98
2026,02,富山県,2757,58.66
2026,02,石川県,2308,49.11
2026,02,福井県,1316,33.74
2026,02,山梨県,1379,39.4
2026,02,長野県,3217,67.02
2026,02,岐阜県,1956,43.47
2026,02,静岡県,6619,47.62
2026,02,愛知県,11219,68.83
2026,02,三重県,3339,50.59
2026,02,滋賀県,2818,48.59
2026,02,京都府,3049,48.4
2026,02,大阪府,10946,37.74
2026,02,兵庫県,8520,51.95
2026,02,奈良県,1557,37.98
2026,02,和歌山県,2144,47.64
2026,02,鳥取県,1509,52.03
2026,02,島根県,1187,59.35
2026,02,岡山県,2634,52.68
2026,02,広島県,4590,49.35
2026,02,山口県,3894,61.81
2026,02,徳島県,1447,43.85
2026,02,香川県,964,41.91
2026,02,愛媛県,2481,67.05
2026,02,高知県,1819,47.87
2026,02,福岡県,6535,52.7
2026,02,佐賀県,1370,57.08
2026,02,長崎県,3116,61.1
2026,02,熊本県,3498,48.58
2026,02,大分県,3373,58.16
2026,02,宮崎県,2011,71.82
2026,02,鹿児島県,3694,64.81
2026,02,沖縄県,2754,61.2
