年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,33,総数,120683,34.14
2025,33,北海道,5235,34.44
2025,33,青森県,1677,33.54
2025,33,岩手県,1575,38.41
2025,33,宮城県,1535,27.91
2025,33,秋田県,936,39
2025,33,山形県,1236,38.63
2025,33,福島県,2022,42.13
2025,33,茨城県,3317,53.5
2025,33,栃木県,1932,52.22
2025,33,群馬県,1668,50.55
2025,33,埼玉県,7936,62
2025,33,千葉県,5339,34.01
2025,33,東京都,12394,35.31
2025,33,神奈川県,8496,44.95
2025,33,新潟県,1953,38.29
2025,33,富山県,1585,36.86
2025,33,石川県,1538,32.72
2025,33,福井県,942,24.15
2025,33,山梨県,602,17.2
2025,33,長野県,2213,30.74
2025,33,岐阜県,1194,26.53
2025,33,静岡県,4037,29.04
2025,33,愛知県,5703,34.99
2025,33,三重県,1877,30.27
2025,33,滋賀県,1714,32.96
2025,33,京都府,1932,31.67
2025,33,大阪府,5017,17.24
2025,33,兵庫県,3027,20.45
2025,33,奈良県,776,22.82
2025,33,和歌山県,1214,26.98
2025,33,鳥取県,1000,34.48
2025,33,島根県,979,48.95
2025,33,岡山県,1775,35.5
2025,33,広島県,2054,24.75
2025,33,山口県,1956,31.05
2025,33,徳島県,759,22.32
2025,33,香川県,1499,37.48
2025,33,愛媛県,1629,44.03
2025,33,高知県,1391,36.61
2025,33,福岡県,3679,30.16
2025,33,佐賀県,745,31.04
2025,33,長崎県,1684,33.02
2025,33,熊本県,2456,34.59
2025,33,大分県,2493,42.98
2025,33,宮崎県,1185,43.89
2025,33,鹿児島県,2737,48.02
2025,33,沖縄県,2040,45.33
