年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,24,総数,215699,56.07
2025,24,北海道,8781,52.27
2025,24,青森県,2648,50.92
2025,24,岩手県,3526,86
2025,24,宮城県,3890,72.04
2025,24,秋田県,1207,48.28
2025,24,山形県,2445,64.34
2025,24,福島県,3464,72.17
2025,24,茨城県,4859,71.46
2025,24,栃木県,3685,78.4
2025,24,群馬県,3527,78.38
2025,24,埼玉県,14159,80.91
2025,24,千葉県,11816,65.64
2025,24,東京都,23610,56.48
2025,24,神奈川県,16839,70.16
2025,24,新潟県,2929,56.33
2025,24,富山県,3099,64.56
2025,24,石川県,2639,56.15
2025,24,福井県,1412,36.21
2025,24,山梨県,1236,35.31
2025,24,長野県,4394,54.25
2025,24,岐阜県,1646,36.58
2025,24,静岡県,6096,43.86
2025,24,愛知県,9823,60.26
2025,24,三重県,2736,39.09
2025,24,滋賀県,3017,52.02
2025,24,京都府,3496,54.63
2025,24,大阪府,11152,38.19
2025,24,兵庫県,7766,47.35
2025,24,奈良県,1842,44.93
2025,24,和歌山県,1845,41
2025,24,鳥取県,1705,58.79
2025,24,島根県,1073,53.65
2025,24,岡山県,2859,57.18
2025,24,広島県,4523,47.61
2025,24,山口県,4188,66.48
2025,24,徳島県,1324,38.94
2025,24,香川県,1831,45.78
2025,24,愛媛県,2737,72.03
2025,24,高知県,1635,43.03
2025,24,福岡県,5582,45.75
2025,24,佐賀県,1318,54.92
2025,24,長崎県,2841,55.71
2025,24,熊本県,3441,47.14
2025,24,大分県,3229,55.67
2025,24,宮崎県,1283,45.82
2025,24,鹿児島県,3879,68.05
2025,24,沖縄県,2667,59.27
