年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,47,総数,396446,103.38
2025,47,北海道,17359,103.95
2025,47,青森県,5467,105.13
2025,47,岩手県,6848,163.05
2025,47,宮城県,7969,144.89
2025,47,秋田県,2529,101.16
2025,47,山形県,4316,113.58
2025,47,福島県,7260,151.25
2025,47,茨城県,8369,123.07
2025,47,栃木県,7112,151.32
2025,47,群馬県,7159,159.09
2025,47,埼玉県,26764,152.94
2025,47,千葉県,21303,118.35
2025,47,東京都,43287,103.81
2025,47,神奈川県,30514,128.21
2025,47,新潟県,5797,111.48
2025,47,富山県,6341,134.91
2025,47,石川県,4927,104.83
2025,47,福井県,2460,63.08
2025,47,山梨県,2540,72.57
2025,47,長野県,8861,113.6
2025,47,岐阜県,3122,69.38
2025,47,静岡県,11466,83.09
2025,47,愛知県,19997,122.68
2025,47,三重県,6667,95.24
2025,47,滋賀県,5529,95.33
2025,47,京都府,6991,109.23
2025,47,大阪府,19396,66.65
2025,47,兵庫県,15868,96.76
2025,47,奈良県,3564,84.86
2025,47,和歌山県,3554,78.98
2025,47,鳥取県,2351,81.07
2025,47,島根県,1566,78.3
2025,47,岡山県,5069,101.38
2025,47,広島県,7598,80.83
2025,47,山口県,7117,112.97
2025,47,徳島県,1928,56.71
2025,47,香川県,3115,77.88
2025,47,愛媛県,3888,108
2025,47,高知県,1887,49.66
2025,47,福岡県,9842,81.34
2025,47,佐賀県,1780,74.17
2025,47,長崎県,4913,96.33
2025,47,熊本県,5807,80.65
2025,47,大分県,7037,121.33
2025,47,宮崎県,2040,72.86
2025,47,鹿児島県,4763,83.56
2025,47,沖縄県,2409,53.53
