年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,27,総数,203039,52.71
2025,27,北海道,6782,40.37
2025,27,青森県,2087,40.13
2025,27,岩手県,2948,71.9
2025,27,宮城県,3677,68.09
2025,27,秋田県,1157,46.28
2025,27,山形県,2173,57.18
2025,27,福島県,3351,69.81
2025,27,茨城県,4606,67.74
2025,27,栃木県,3657,77.81
2025,27,群馬県,3451,76.69
2025,27,埼玉県,13393,76.1
2025,27,千葉県,11957,64.28
2025,27,東京都,22706,54.32
2025,27,神奈川県,16073,66.97
2025,27,新潟県,2601,51
2025,27,富山県,2565,53.44
2025,27,石川県,2271,48.32
2025,27,福井県,1117,28.64
2025,27,山梨県,1166,33.31
2025,27,長野県,3571,44.09
2025,27,岐阜県,1547,34.38
2025,27,静岡県,6068,43.65
2025,27,愛知県,9748,59.8
2025,27,三重県,2900,41.43
2025,27,滋賀県,2747,47.36
2025,27,京都府,2965,46.33
2025,27,大阪府,10923,37.41
2025,27,兵庫県,7674,46.79
2025,27,奈良県,1528,37.27
2025,27,和歌山県,1779,39.53
2025,27,鳥取県,1254,43.24
2025,27,島根県,957,47.85
2025,27,岡山県,2609,52.18
2025,27,広島県,4195,44.63
2025,27,山口県,3650,57.94
2025,27,徳島県,1324,38.94
2025,27,香川県,1800,45
2025,27,愛媛県,2642,69.53
2025,27,高知県,1538,40.47
2025,27,福岡県,5178,42.44
2025,27,佐賀県,1115,46.46
2025,27,長崎県,2859,56.06
2025,27,熊本県,3455,47.33
2025,27,大分県,3424,59.03
2025,27,宮崎県,1262,45.07
2025,27,鹿児島県,3403,59.7
2025,27,沖縄県,3186,70.8
