年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,46,総数,364396,94.77
2025,46,北海道,15683,93.91
2025,46,青森県,4287,82.44
2025,46,岩手県,5904,140.57
2025,46,宮城県,7766,141.2
2025,46,秋田県,2184,87.36
2025,46,山形県,4242,111.63
2025,46,福島県,6156,128.25
2025,46,茨城県,7580,111.47
2025,46,栃木県,6059,128.91
2025,46,群馬県,6690,148.67
2025,46,埼玉県,26935,153.04
2025,46,千葉県,20522,112.14
2025,46,東京都,42022,100.53
2025,46,神奈川県,28824,120.6
2025,46,新潟県,4868,93.62
2025,46,富山県,5560,115.83
2025,46,石川県,4588,97.62
2025,46,福井県,2022,51.85
2025,46,山梨県,2303,65.8
2025,46,長野県,7264,90.8
2025,46,岐阜県,2611,58.02
2025,46,静岡県,10288,74.01
2025,46,愛知県,18035,110.64
2025,46,三重県,5500,78.57
2025,46,滋賀県,4823,83.16
2025,46,京都府,6342,99.09
2025,46,大阪府,19034,65.41
2025,46,兵庫県,15113,92.15
2025,46,奈良県,3123,74.36
2025,46,和歌山県,3336,74.13
2025,46,鳥取県,2240,77.24
2025,46,島根県,1511,75.55
2025,46,岡山県,4397,87.94
2025,46,広島県,6867,73.05
2025,46,山口県,6241,99.06
2025,46,徳島県,1732,50.94
2025,46,香川県,2861,71.53
2025,46,愛媛県,3700,102.78
2025,46,高知県,1689,44.45
2025,46,福岡県,9096,74.56
2025,46,佐賀県,1663,69.29
2025,46,長崎県,4148,81.33
2025,46,熊本県,4862,67.53
2025,46,大分県,5755,99.22
2025,46,宮崎県,1670,59.64
2025,46,鹿児島県,4116,72.21
2025,46,沖縄県,2184,49.64
