年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,39,総数,210468,54.7
2025,39,北海道,9193,54.72
2025,39,青森県,2689,51.71
2025,39,岩手県,3338,81.41
2025,39,宮城県,4061,73.84
2025,39,秋田県,1211,48.44
2025,39,山形県,2572,67.68
2025,39,福島県,3003,62.56
2025,39,茨城県,4430,65.15
2025,39,栃木県,3740,79.57
2025,39,群馬県,3914,86.98
2025,39,埼玉県,13657,78.04
2025,39,千葉県,10822,58.82
2025,39,東京都,22023,52.69
2025,39,神奈川県,15188,63.28
2025,39,新潟県,3087,59.37
2025,39,富山県,2984,62.17
2025,39,石川県,2555,54.36
2025,39,福井県,1339,34.33
2025,39,山梨県,1152,32.91
2025,39,長野県,4095,50.56
2025,39,岐阜県,1590,35.33
2025,39,静岡県,6651,47.85
2025,39,愛知県,10908,66.92
2025,39,三重県,3232,46.17
2025,39,滋賀県,2812,48.48
2025,39,京都府,3384,53.71
2025,39,大阪府,10130,34.81
2025,39,兵庫県,7735,47.16
2025,39,奈良県,1626,38.71
2025,39,和歌山県,1628,36.18
2025,39,鳥取県,1601,55.21
2025,39,島根県,1109,55.45
2025,39,岡山県,2745,54.9
2025,39,広島県,4714,50.15
2025,39,山口県,3748,59.49
2025,39,徳島県,1415,41.62
2025,39,香川県,1869,46.73
2025,39,愛媛県,2676,72.32
2025,39,高知県,1497,39.39
2025,39,福岡県,6143,50.35
2025,39,佐賀県,1124,46.83
2025,39,長崎県,3323,65.16
2025,39,熊本県,3552,49.33
2025,39,大分県,3699,63.78
2025,39,宮崎県,1247,44.54
2025,39,鹿児島県,3306,58
2025,39,沖縄県,1951,43.36
