年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,36,総数,207429,53.92
2025,36,北海道,8181,48.7
2025,36,青森県,2532,48.69
2025,36,岩手県,3373,82.27
2025,36,宮城県,4175,75.91
2025,36,秋田県,1147,45.88
2025,36,山形県,2758,72.58
2025,36,福島県,3313,69.02
2025,36,茨城県,4055,59.63
2025,36,栃木県,3650,79.35
2025,36,群馬県,3802,84.49
2025,36,埼玉県,12574,71.85
2025,36,千葉県,9981,53.37
2025,36,東京都,19468,46.57
2025,36,神奈川県,14250,59.62
2025,36,新潟県,3269,62.87
2025,36,富山県,3107,66.11
2025,36,石川県,2567,54.62
2025,36,福井県,1449,37.15
2025,36,山梨県,1190,34
2025,36,長野県,5060,62.47
2025,36,岐阜県,1591,35.36
2025,36,静岡県,6883,49.52
2025,36,愛知県,10182,62.47
2025,36,三重県,3174,45.34
2025,36,滋賀県,2603,45.67
2025,36,京都府,3317,51.83
2025,36,大阪府,10643,36.57
2025,36,兵庫県,7415,45.21
2025,36,奈良県,1475,35.12
2025,36,和歌山県,1967,43.71
2025,36,鳥取県,1781,61.41
2025,36,島根県,1108,55.4
2025,36,岡山県,2851,57.02
2025,36,広島県,4650,49.47
2025,36,山口県,4295,68.17
2025,36,徳島県,1433,42.15
2025,36,香川県,1861,46.53
2025,36,愛媛県,2832,76.54
2025,36,高知県,1687,44.39
2025,36,福岡県,6133,50.27
2025,36,佐賀県,1230,51.25
2025,36,長崎県,3592,70.43
2025,36,熊本県,3826,53.89
2025,36,大分県,3872,66.76
2025,36,宮崎県,1558,55.64
2025,36,鹿児島県,3676,64.49
2025,36,沖縄県,1893,42.07
