年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,45,総数,301188,78.35
2025,45,北海道,12948,77.53
2025,45,青森県,3386,65.12
2025,45,岩手県,4580,109.05
2025,45,宮城県,6475,117.73
2025,45,秋田県,1823,72.92
2025,45,山形県,3501,92.13
2025,45,福島県,5110,106.46
2025,45,茨城県,6160,90.59
2025,45,栃木県,5102,108.55
2025,45,群馬県,4908,109.07
2025,45,埼玉県,22416,128.83
2025,45,千葉県,16160,88.31
2025,45,東京都,34655,82.91
2025,45,神奈川県,24967,104.46
2025,45,新潟県,4028,77.46
2025,45,富山県,4239,88.31
2025,45,石川県,3563,75.81
2025,45,福井県,1769,45.36
2025,45,山梨県,1800,51.43
2025,45,長野県,5442,68.03
2025,45,岐阜県,2275,50.56
2025,45,静岡県,8577,61.71
2025,45,愛知県,14801,90.8
2025,45,三重県,4471,63.87
2025,45,滋賀県,3808,65.66
2025,45,京都府,4791,74.86
2025,45,大阪府,15647,53.77
2025,45,兵庫県,12649,77.13
2025,45,奈良県,2441,58.12
2025,45,和歌山県,2664,59.2
2025,45,鳥取県,1811,64.68
2025,45,島根県,1345,67.25
2025,45,岡山県,3429,68.58
2025,45,広島県,5986,63.68
2025,45,山口県,5070,80.48
2025,45,徳島県,1628,47.88
2025,45,香川県,2153,53.83
2025,45,愛媛県,3771,101.92
2025,45,高知県,1628,42.84
2025,45,福岡県,7750,63.52
2025,45,佐賀県,1538,64.08
2025,45,長崎県,3486,68.35
2025,45,熊本県,3920,54.44
2025,45,大分県,4950,85.34
2025,45,宮崎県,1537,54.89
2025,45,鹿児島県,3630,63.68
2025,45,沖縄県,2400,53.33
