年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,51,総数,296974,77.34
2025,51,北海道,10916,65.37
2025,51,青森県,3131,60.21
2025,51,岩手県,3603,85.79
2025,51,宮城県,4396,79.93
2025,51,秋田県,1230,49.2
2025,51,山形県,2804,73.79
2025,51,福島県,3559,74.15
2025,51,茨城県,6145,91.72
2025,51,栃木県,4457,94.83
2025,51,群馬県,4531,100.69
2025,51,埼玉県,17502,99.44
2025,51,千葉県,14953,82.16
2025,51,東京都,26183,62.64
2025,51,神奈川県,19129,79.7
2025,51,新潟県,3892,76.31
2025,51,富山県,4567,97.17
2025,51,石川県,3897,82.91
2025,51,福井県,1712,45.05
2025,51,山梨県,2056,58.74
2025,51,長野県,6120,76.5
2025,51,岐阜県,2767,61.49
2025,51,静岡県,9094,65.42
2025,51,愛知県,15312,93.94
2025,51,三重県,5272,75.31
2025,51,滋賀県,4157,71.67
2025,51,京都府,5210,81.41
2025,51,大阪府,14435,49.95
2025,51,兵庫県,12284,74.9
2025,51,奈良県,2359,56.17
2025,51,和歌山県,2421,53.8
2025,51,鳥取県,2360,81.38
2025,51,島根県,2017,100.85
2025,51,岡山県,4719,94.38
2025,51,広島県,6977,74.22
2025,51,山口県,6676,105.97
2025,51,徳島県,2606,78.97
2025,51,香川県,3984,99.6
2025,51,愛媛県,3579,96.73
2025,51,高知県,2812,74
2025,51,福岡県,11159,91.47
2025,51,佐賀県,2081,86.71
2025,51,長崎県,5040,98.82
2025,51,熊本県,6179,85.82
2025,51,大分県,6188,106.69
2025,51,宮崎県,3620,129.29
2025,51,鹿児島県,6443,113.04
2025,51,沖縄県,2440,54.22
