年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,38,総数,203282,53.05
2025,38,北海道,8667,52.53
2025,38,青森県,2379,45.75
2025,38,岩手県,3187,77.73
2025,38,宮城県,3628,65.96
2025,38,秋田県,1161,46.44
2025,38,山形県,2317,60.97
2025,38,福島県,3014,62.79
2025,38,茨城県,4217,62.01
2025,38,栃木県,3564,75.83
2025,38,群馬県,3935,87.44
2025,38,埼玉県,13256,75.75
2025,38,千葉県,10276,56.15
2025,38,東京都,20863,50.15
2025,38,神奈川県,13824,58.33
2025,38,新潟県,2792,53.69
2025,38,富山県,3051,63.56
2025,38,石川県,2426,51.62
2025,38,福井県,1378,35.33
2025,38,山梨県,989,29.09
2025,38,長野県,3913,48.91
2025,38,岐阜県,1491,33.13
2025,38,静岡県,6950,50
2025,38,愛知県,10240,62.82
2025,38,三重県,3201,45.73
2025,38,滋賀県,2555,46.45
2025,38,京都府,3025,48.79
2025,38,大阪府,10153,34.89
2025,38,兵庫県,7731,47.14
2025,38,奈良県,1663,39.6
2025,38,和歌山県,1770,39.33
2025,38,鳥取県,1626,56.07
2025,38,島根県,1068,53.4
2025,38,岡山県,2818,56.36
2025,38,広島県,4497,47.84
2025,38,山口県,3898,61.87
2025,38,徳島県,1401,41.21
2025,38,香川県,2003,50.08
2025,38,愛媛県,2784,73.26
2025,38,高知県,1537,40.45
2025,38,福岡県,6314,51.75
2025,38,佐賀県,1178,49.08
2025,38,長崎県,3121,61.2
2025,38,熊本県,3144,44.28
2025,38,大分県,3685,63.53
2025,38,宮崎県,1353,48.32
2025,38,鹿児島県,3503,61.46
2025,38,沖縄県,1736,39.45
