年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,16,総数,216136,56.58
2025,16,北海道,8765,52.49
2025,16,青森県,2414,47.33
2025,16,岩手県,4140,94.09
2025,16,宮城県,3973,73.57
2025,16,秋田県,1259,52.46
2025,16,山形県,3050,80.26
2025,16,福島県,3575,74.48
2025,16,茨城県,4493,66.07
2025,16,栃木県,4636,98.64
2025,16,群馬県,3521,80.02
2025,16,埼玉県,11628,68.8
2025,16,千葉県,11107,63.83
2025,16,東京都,21268,51.13
2025,16,神奈川県,15311,65.15
2025,16,新潟県,3316,65.02
2025,16,富山県,3853,80.27
2025,16,石川県,2840,59.17
2025,16,福井県,1974,50.62
2025,16,山梨県,1402,40.06
2025,16,長野県,4718,58.25
2025,16,岐阜県,1876,41.69
2025,16,静岡県,6099,43.88
2025,16,愛知県,10696,65.62
2025,16,三重県,3156,44.45
2025,16,滋賀県,3212,55.38
2025,16,京都府,2981,49.68
2025,16,大阪府,11570,39.49
2025,16,兵庫県,8593,52.72
2025,16,奈良県,1918,46.78
2025,16,和歌山県,2013,44.73
2025,16,鳥取県,1833,63.21
2025,16,島根県,1165,58.25
2025,16,岡山県,3164,63.28
2025,16,広島県,4410,46.91
2025,16,山口県,3885,61.67
2025,16,徳島県,1368,40.24
2025,16,香川県,2280,57
2025,16,愛媛県,2854,75.11
2025,16,高知県,1212,31.89
2025,16,福岡県,5305,43.84
2025,16,佐賀県,1460,63.48
2025,16,長崎県,3677,73.54
2025,16,熊本県,3890,53.29
2025,16,大分県,2895,49.91
2025,16,宮崎県,1751,62.54
2025,16,鹿児島県,3287,57.67
2025,16,沖縄県,2343,52.07
