年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,32,総数,198058,52.49
2025,32,北海道,6596,40.47
2025,32,青森県,2294,44.98
2025,32,岩手県,3312,80.78
2025,32,宮城県,3315,61.39
2025,32,秋田県,1346,53.84
2025,32,山形県,2518,66.26
2025,32,福島県,2552,53.17
2025,32,茨城県,4319,63.51
2025,32,栃木県,3410,74.13
2025,32,群馬県,3802,88.42
2025,32,埼玉県,13303,79.18
2025,32,千葉県,11738,65.94
2025,32,東京都,20547,52.02
2025,32,神奈川県,15084,66.16
2025,32,新潟県,2894,60.29
2025,32,富山県,2713,58.98
2025,32,石川県,1927,41
2025,32,福井県,1220,31.28
2025,32,山梨県,1035,30.44
2025,32,長野県,4093,50.53
2025,32,岐阜県,1736,38.58
2025,32,静岡県,6055,43.56
2025,32,愛知県,9620,59.02
2025,32,三重県,3051,44.22
2025,32,滋賀県,2323,41.48
2025,32,京都府,2916,47.8
2025,32,大阪府,9677,33.25
2025,32,兵庫県,6677,41.99
2025,32,奈良県,1564,37.24
2025,32,和歌山県,1692,37.6
2025,32,鳥取県,1525,52.59
2025,32,島根県,1027,51.35
2025,32,岡山県,2650,53
2025,32,広島県,4182,44.02
2025,32,山口県,3578,56.79
2025,32,徳島県,1409,42.7
2025,32,香川県,1896,47.4
2025,32,愛媛県,2540,68.65
2025,32,高知県,1585,41.71
2025,32,福岡県,5343,43.8
2025,32,佐賀県,1255,52.29
2025,32,長崎県,3014,59.1
2025,32,熊本県,3804,52.83
2025,32,大分県,3269,56.36
2025,32,宮崎県,1521,54.32
2025,32,鹿児島県,3927,68.89
2025,32,沖縄県,2204,48.98
