年,週,都道府県,急性呼吸器感染症_報告,急性呼吸器感染症_定当
2025,26,総数,194889,50.58
2025,26,北海道,7158,42.61
2025,26,青森県,2198,42.27
2025,26,岩手県,2900,70.73
2025,26,宮城県,3401,62.98
2025,26,秋田県,1046,41.84
2025,26,山形県,2179,57.34
2025,26,福島県,2772,57.75
2025,26,茨城県,4549,66.9
2025,26,栃木県,3450,73.4
2025,26,群馬県,3261,72.47
2025,26,埼玉県,12994,73.83
2025,26,千葉県,11030,59.95
2025,26,東京都,21803,52.29
2025,26,神奈川県,15370,63.51
2025,26,新潟県,2674,51.42
2025,26,富山県,2619,54.56
2025,26,石川県,2216,47.15
2025,26,福井県,1192,30.56
2025,26,山梨県,1030,29.43
2025,26,長野県,3550,43.83
2025,26,岐阜県,1425,31.67
2025,26,静岡県,5362,38.58
2025,26,愛知県,9098,55.82
2025,26,三重県,2818,40.26
2025,26,滋賀県,2466,42.52
2025,26,京都府,2937,45.89
2025,26,大阪府,10330,35.38
2025,26,兵庫県,7508,45.5
2025,26,奈良県,1440,36
2025,26,和歌山県,1712,38.04
2025,26,鳥取県,1332,45.93
2025,26,島根県,903,45.15
2025,26,岡山県,2457,49.14
2025,26,広島県,4167,43.86
2025,26,山口県,3795,60.24
2025,26,徳島県,1217,35.79
2025,26,香川県,1676,41.9
2025,26,愛媛県,2746,72.26
2025,26,高知県,1518,39.95
2025,26,福岡県,5106,41.85
2025,26,佐賀県,1135,47.29
2025,26,長崎県,2771,54.33
2025,26,熊本県,3256,44.6
2025,26,大分県,2971,51.22
2025,26,宮崎県,1172,41.86
2025,26,鹿児島県,3355,58.86
2025,26,沖縄県,2824,62.76
