報告数・定点当り報告数、疾病・都道府県別,,
2025年16週,2025年04月23日作成,
,急性呼吸器感染症,
,報告,定当
総数,216136,56.58
北海道,8765,52.49
青森県,2414,47.33
岩手県,4140,94.09
宮城県,3973,73.57
秋田県,1259,52.46
山形県,3050,80.26
福島県,3575,74.48
茨城県,4493,66.07
栃木県,4636,98.64
群馬県,3521,80.02
埼玉県,11628,68.8
千葉県,11107,63.83
東京都,21268,51.13
神奈川県,15311,65.15
新潟県,3316,65.02
富山県,3853,80.27
石川県,2840,59.17
福井県,1974,50.62
山梨県,1402,40.06
長野県,4718,58.25
岐阜県,1876,41.69
静岡県,6099,43.88
愛知県,10696,65.62
三重県,3156,44.45
滋賀県,3212,55.38
京都府,2981,49.68
大阪府,11570,39.49
兵庫県,8593,52.72
奈良県,1918,46.78
和歌山県,2013,44.73
鳥取県,1833,63.21
島根県,1165,58.25
岡山県,3164,63.28
広島県,4410,46.91
山口県,3885,61.67
徳島県,1368,40.24
香川県,2280,57
愛媛県,2854,75.11
高知県,1212,31.89
福岡県,5305,43.84
佐賀県,1460,63.48
長崎県,3677,73.54
熊本県,3890,53.29
大分県,2895,49.91
宮崎県,1751,62.54
鹿児島県,3287,57.67
沖縄県,2343,52.07
